ID	DateTime	Run	Retrieval_Trial	FaceRecog_OnsetTime	FaceRecog_OnsetTimeUncertainty	FaceRecog_fMRI_Pulse	FaceRecog_fMRI_PulseTime	Assoc_Retrieval_OnsetTime	Assoc_Retrieval_OnsetTimeUncertainty	Assoc_Retrieval_fMRI_Pulse	Assoc_Retrieval_fMRI_PulseTime	Assoc_Retrieval_Pressed_Button	Assoc_Retrieval_RT	Assoc_Retrieval_Response_Category	Assoc_Retrieval_Accuracy	Assoc_Retrieval_Feedback_OnsetTime	Assoc_Retrieval_Feedback_OnsetTimeUncertainty	Assoc_Retrieval_Feedback_fMRI_Pulse	Assoc_Retrieval_Feedback_fMRI_PulseTime	Retrieval_consc_Rating_OnsetTime	Retrieval_consc_Rating_OnsetTimeUncertainty	Retrieval_consc_Rating_fMRI_Pulse	Retrieval_consc_Rating_fMRI_PulseTime	Retrieval_consc_Rating_Pressed_Button	Retrieval_consc_Rating_RT	Retrieval_consc_Rating_Feedback_OnsetTime	Retrieval_consc_Rating_Feedback_OnsetTimeUncertainty	Retrieval_consc_Rating_Feedback_fMRI_Pulse	Retrieval_consc_Rating_Feedback_fMRI_PulseTime	Presented_Person	Presented_Target	Presented_Lure	num_pulse	fifth_pulse_time	TrialStatus
64741	07/27/2021 14:04:05	1	1	1722151	1	665	1721819	1724467	1	666	1723939	0	0	inorganic	miss	1724467	1	667	1726059	1729415	1	668	1728179	2	661	1730098	1	668	1728179	fal_07906.png	fal_Buegeleisen.png	fal_Korb.png	665	1721819	ok
64741	07/27/2021 14:04:18	1	2	1733680	1	670	1732419	1737079	1	672	1736658	3	329	organic	correct	1737429	1	672	1736658	1742044	1	674	1740899	4	430	1742511	1	674	1740899	mol_07679.png	mol_Pizza.png	mol_Schimpanse.png	665	1721819	ok
64741	07/27/2021 14:04:29	1	3	1746726	1	676	1745139	1749225	1	677	1747259	2	796	inorganic	correct	1750075	1	678	1749379	1753907	1	680	1753619	2	518	1754456	1	680	1753619	far_00736.png	far_Heissluftballon.png	far_Giesskanne.png	665	1721819	ok
64741	07/27/2021 14:04:40	1	4	1757789	1	681	1755739	1760638	1	683	1759978	2	1083	organic	incorrect	1761754	1	683	1759978	1764270	1	685	1764219	3	526	1764820	1	685	1764219	mog_03090.png	mog_Fledermaus.png	mog_Pilz.png	665	1721819	ok
64741	07/27/2021 14:04:53	1	5	1768918	1	687	1768458	1772350	1	688	1770579	2	953	inorganic	correct	1773333	1	689	1772699	1776566	1	690	1774818	2	315	1776916	1	690	1774818	map_41499.png	map_Globus.png	map_Pfeife.png	665	1721819	ok
64741	07/27/2021 14:05:06	1	6	1781647	1	693	1781179	1785096	1	694	1783298	2	451	organic	incorrect	1785579	1	695	1785418	1789361	1	696	1787539	2	393	1789778	1	697	1789658	moh_06446.png	moh_Birne.png	moh_Muecke.png	665	1721819	ok
64741	07/27/2021 14:05:16	1	7	1794593	1	699	1793899	1796759	1	700	1796019	3	1390	organic	correct	1798192	1	701	1798138	1800708	1	702	1800258	3	686	1801441	1	702	1800258	foa_00207.png	foa_Aubergine.png	foa_Marienkaefer.png	665	1721819	ok
64741	07/27/2021 14:05:25	1	8	1805139	1	704	1804499	1806855	1	705	1806618	2	1822	organic	incorrect	1808705	1	705	1806618	1810288	1	706	1808738	3	2035	1812354	1	707	1810859	foj_08220.png	foj_Waffel.png	foj_Rose.png	665	1721819	ok
64741	07/27/2021 14:05:35	1	9	1814386	1	708	1812978	1816486	1	709	1815098	2	2243	inorganic	correct	1818751	1	710	1817218	1820134	1	711	1819339	3	774	1820934	1	711	1819339	fat_12032.png	fat_Kleiderbuegel.png	fat_Einkaufswagen.png	665	1721819	ok
64741	07/27/2021 14:05:45	1	10	1823966	1	713	1823578	1825966	1	714	1825698	2	1854	inorganic	correct	1827848	1	715	1827818	1829864	1	715	1827818	2	246	1830148	1	716	1829938	fan_17286.png	fan_Klavier.png	fan_Lampe.png	665	1721819	ok
