ID	DateTime	Run	Retrieval_Trial	FaceRecog_OnsetTime	FaceRecog_OnsetTimeUncertainty	FaceRecog_fMRI_Pulse	FaceRecog_fMRI_PulseTime	Assoc_Retrieval_OnsetTime	Assoc_Retrieval_OnsetTimeUncertainty	Assoc_Retrieval_fMRI_Pulse	Assoc_Retrieval_fMRI_PulseTime	Assoc_Retrieval_Pressed_Button	Assoc_Retrieval_RT	Assoc_Retrieval_Response_Category	Assoc_Retrieval_Accuracy	Assoc_Retrieval_Feedback_OnsetTime	Assoc_Retrieval_Feedback_OnsetTimeUncertainty	Assoc_Retrieval_Feedback_fMRI_Pulse	Assoc_Retrieval_Feedback_fMRI_PulseTime	Retrieval_consc_Rating_OnsetTime	Retrieval_consc_Rating_OnsetTimeUncertainty	Retrieval_consc_Rating_fMRI_Pulse	Retrieval_consc_Rating_fMRI_PulseTime	Retrieval_consc_Rating_Pressed_Button	Retrieval_consc_Rating_RT	Retrieval_consc_Rating_Feedback_OnsetTime	Retrieval_consc_Rating_Feedback_OnsetTimeUncertainty	Retrieval_consc_Rating_Feedback_fMRI_Pulse	Retrieval_consc_Rating_Feedback_fMRI_PulseTime	Presented_Person	Presented_Target	Presented_Lure	num_pulse	fifth_pulse_time	TrialStatus
60989	06/29/2021 09:05:20	1	1	1661907	1	524	1661173	1664506	1	525	1663873	3	1150	organic	correct	1665689	1	525	1663873	1668788	1	526	1666572	3	631	1669454	1	527	1669273	fok_09378.png	fok_Kaenguruh.png	fok_Palme.png	524	1661173	ok
60989	06/29/2021 09:05:32	1	2	1672353	1	528	1671974	1675835	1	529	1674672	2	541	inorganic	correct	1676402	1	529	1674672	1679734	1	530	1677373	2	1153	1680917	1	531	1680073	mac_59169.png	mac_Dartpfeil.png	mac_Medaille.png	524	1661173	ok
60989	06/29/2021 09:05:41	1	3	1683516	1	532	1682772	1685749	1	533	1685473	2	1169	inorganic	correct	1686948	1	533	1685473	1689531	1	534	1688173	3	624	1690181	1	534	1688173	map_41499.png	map_Pfeife.png	map_Globus.png	524	1661173	ok
60989	06/29/2021 09:05:53	1	4	1693413	1	535	1690872	1696478	1	537	1696273	2	926	inorganic	correct	1697428	1	537	1696273	1700594	1	538	1698973	4	1220	1701843	1	539	1701672	faj_07783.png	faj_Schuh.png	faj_Parfuem.png	524	1661173	ok
60989	06/29/2021 09:06:04	1	5	1705392	1	540	1704373	1707391	1	541	1707072	2	1669	inorganic	correct	1709091	1	541	1707072	1711590	1	542	1709772	2	784	1712406	1	542	1709772	maw_04767.png	maw_Pingpongschlaeger.png	maw_Schlauchboot.png	524	1661173	ok
60989	06/29/2021 09:06:15	1	6	1716338	1	544	1715173	1718621	1	545	1717873	2	796	inorganic	correct	1719454	1	545	1717873	1722320	1	546	1720572	4	418	1722770	1	546	1720572	fax_14883.png	fax_Klebeband.png	fax_Fahrrad.png	524	1661173	ok
60989	06/29/2021 09:06:27	1	7	1726552	1	548	1725972	1729684	1	549	1728672	3	581	organic	correct	1730300	1	549	1728672	1733749	1	550	1731372	4	535	1734316	1	551	1734073	mom_59361.png	mom_Loewe.png	mom_Ei.png	524	1661173	ok
60989	06/29/2021 09:06:38	1	8	1739081	1	552	1736773	1741197	1	553	1739472	3	1339	organic	correct	1742563	1	554	1742172	1745845	1	555	1744872	4	784	1746662	1	555	1744872	fou_17118.png	fou_Feige.png	fou_Schmetterling.png	524	1661173	ok
60989	06/29/2021 09:06:48	1	9	1750260	1	556	1747572	1751910	1	557	1750273	3	1730	organic	correct	1753693	1	558	1752973	1756058	1	559	1755672	2	467	1756575	1	559	1755672	foe_08236.png	foe_Tannenzapfen.png	foe_Adler.png	524	1661173	ok
60989	06/29/2021 09:07:00	1	10	1760407	1	560	1758373	1762023	1	561	1761073	2	1512	organic	incorrect	1763573	1	561	1761073	1767121	1	563	1766473	4	345	1767505	1	563	1766473	foq_16799.png	foq_Fenchel.png	foq_Pinguin.png	524	1661173	ok
