ID	DateTime	Run	Encoding_Trial	FaceBase_OnsetTime	FaceBase_OnsetTimeUncertainty	FaceBase_fMRI_Pulse	FaceBase_fMRI_PulseTime	Assoc_Encoding_OnsetTime	Assoc_Encoding_OnsetTimeUncertainty	Assoc_Encoding_fMRI_Pulse	Assoc_Encoding_fMRI_PulseTime	Immediate_Recall_OnsetTime	Immediate_Recall_OnsetTimeUncertainty	Immediate_Recall_fMRI_Pulse	Immediate_Recall_fMRI_PulseTime	Immediate_Recall_Pressed_Button	Immediate_Recall_RT	Immediate_Recall_Accuracy	Immediate_Recall_Feedback_OnsetTime	Immediate_Recall_Feedback_OnsetTimeUncertainty	Immediate_Recall_Feedback_fMRI_Pulse	Immediate_Recall_Feedback_fMRI_PulseTime	Presented_Person	Presented_Object	Object_Category	First_pulse_time	TrialStatus
62426	08/17/2021 15:44:44	1	1	50949	1	5	48308	53015	1	6	51008	56264	1	7	53708	3	2070	correct	58363	1	8	56408	foc_02157.png	foc_Eule.png	organic	37509	ok
62426	08/17/2021 15:44:55	1	2	59729	1	9	59108	61579	1	9	59108	65344	1	11	64508	2	824	correct	66194	1	11	64508	fat_12032.png	fat_Einkaufswagen.png	inorganic	37509	ok
62426	08/17/2021 15:45:06	1	3	69826	1	12	67208	72458	1	13	69908	77207	1	15	75308	2	625	correct	77856	1	15	75308	mai_06530.png	mai_Gewehr.png	inorganic	37509	ok
62426	08/17/2021 15:45:16	1	4	81072	1	17	80708	83721	1	18	83408	87553	1	19	86108	3	340	correct	87920	1	19	86108	mob_00760.png	mob_Igel.png	organic	37509	ok
62426	08/17/2021 15:45:27	1	5	91502	1	20	88808	93101	1	21	91508	97100	1	23	96908	2	552	correct	97683	1	23	96908	mac_59169.png	mac_Dartpfeil.png	inorganic	37509	ok
62426	08/17/2021 15:45:38	1	6	102365	1	25	102308	105081	1	26	105008	108846	1	27	107708	3	527	correct	109396	1	27	107708	fov_15046.png	fov_Zucchini.png	organic	37509	ok
62426	08/17/2021 15:45:50	1	7	113761	1	29	113108	117110	1	30	115807	121392	1	32	121208	3	316	correct	121758	1	32	121208	mom_59361.png	mom_Ei.png	organic	37509	ok
62426	08/17/2021 15:46:01	1	8	125057	1	33	123908	128473	1	34	126608	132438	1	36	132008	3	373	correct	132838	1	36	132008	moe_02012.png	moe_Pommes.png	organic	37509	ok
62426	08/17/2021 15:46:11	1	9	136387	1	37	134708	138769	1	38	137408	142085	1	39	140108	2	828	correct	142934	1	40	142808	fax_14883.png	fax_Fahrrad.png	inorganic	37509	ok
62426	08/17/2021 15:46:23	1	10	146666	1	41	145507	148749	1	42	148208	153181	1	43	150908	2	720	correct	153931	1	44	153607	fai_07494.png	fai_Kommode.png	inorganic	37509	ok
62426	08/17/2021 15:46:33	1	11	158379	1	45	156308	160995	1	46	159008	165177	1	48	164408	2	372	correct	165577	1	48	164408	fan_17286.png	fan_Klavier.png	inorganic	37509	ok
62426	08/17/2021 15:46:44	1	12	168592	1	49	167108	170975	1	50	169807	174107	1	51	172508	3	487	correct	174624	1	51	172508	mos_20953.png	mos_Eintagsfliege.png	organic	37509	ok
62426	08/17/2021 15:46:54	1	13	179305	1	53	177907	181705	1	54	180608	185420	1	55	183308	2	543	correct	185987	1	55	183308	maj_01545.png	maj_Computermaus.png	inorganic	37509	ok
62426	08/17/2021 15:47:03	1	14	188869	1	57	188708	191018	1	57	188708	194400	1	59	194107	3	671	correct	195100	1	59	194107	foe_08236.png	foe_Adler.png	organic	37509	ok
62426	08/17/2021 15:47:13	1	15	197816	1	60	196808	201031	1	61	199507	204230	1	62	202207	3	869	correct	205130	1	63	204908	mog_03090.png	mog_Fledermaus.png	organic	37509	ok
62426	08/17/2021 15:47:24	1	16	208462	1	64	207607	210062	1	64	207607	213944	1	66	213008	2	348	correct	214327	1	66	213008	far_00736.png	far_Giesskanne.png	inorganic	37509	ok
62426	08/17/2021 15:47:35	1	17	218959	1	68	218407	221008	1	68	218407	225323	1	70	223807	3	689	correct	226040	1	70	223807	fou_17118.png	fou_Feige.png	organic	37509	ok
62426	08/17/2021 15:47:45	1	18	230205	1	72	229208	233270	1	73	231907	236736	1	74	234607	2	696	correct	237469	1	75	237307	mak_00987.png	mak_Socken.png	inorganic	37509	ok
62426	08/17/2021 15:47:55	1	19	240401	1	76	240007	242001	1	76	240007	246766	1	78	245407	3	555	correct	247349	1	78	245407	foq_16799.png	foq_Pinguin.png	organic	37509	ok
62426	08/17/2021 15:48:07	1	20	250748	1	79	248107	253497	1	80	250807	257945	1	82	256207	3	1295	correct	259278	1	83	258907	foa_00207.png	foa_Marienkaefer.png	organic	37509	ok
62426	08/17/2021 15:48:18	1	21	262227	1	84	261607	264260	1	84	261607	268325	1	86	267007	3	1395	correct	269775	1	87	269707	fop_00621.png	fop_Mango.png	organic	37509	ok
62426	08/17/2021 15:48:29	1	22	273290	1	88	272407	276106	1	89	275106	279805	1	90	277807	3	457	correct	280288	1	90	277807	mon_65798.png	mon_Fuchs.png	organic	37509	ok
62426	08/17/2021 15:48:41	1	23	284337	1	92	283206	286369	1	93	285907	290868	1	94	288607	2	885	correct	291784	1	95	291306	mal_04470.png	mal_Drucker.png	inorganic	37509	ok
62426	08/17/2021 15:48:49	1	24	295966	1	96	294007	297949	1	97	296707	301314	1	98	299406	2	1270	correct	302614	1	99	302107	mae_01010.png	mae_Schach.png	inorganic	37509	ok
62426	08/17/2021 15:49:01	1	25	304663	1	99	302107	307545	1	101	307506	312494	1	102	310207	3	377	correct	312894	1	102	310207	mof_02408.png	mof_Spaghetti.png	organic	37509	ok
62426	08/17/2021 15:49:11	1	26	316292	1	104	315606	318958	1	105	318307	322590	1	106	321006	3	405	correct	323023	1	106	321006	fok_09378.png	fok_Kaenguruh.png	organic	37509	ok
62426	08/17/2021 15:49:23	1	27	326756	1	108	326407	330271	1	109	329106	334120	1	110	331806	3	888	correct	335036	1	111	334507	for_15187.png	for_Seehund.png	organic	37509	ok
62426	08/17/2021 15:49:33	1	28	337818	1	112	337206	339618	1	112	337206	344116	1	114	342607	2	443	correct	344583	1	114	342607	mao_11634.png	mao_Stempel.png	inorganic	37509	ok
62426	08/17/2021 15:49:44	1	29	348315	1	116	348006	350181	1	116	348006	354196	1	118	353406	3	440	correct	354663	1	118	353406	mot_69374.png	mot_Bison.png	organic	37509	ok
62426	08/17/2021 15:49:55	1	30	359161	1	120	358806	361344	1	120	358806	365926	1	122	364206	3	643	correct	366592	1	122	364206	mou_01862.png	mou_Croissant.png	organic	37509	ok
62426	08/17/2021 15:50:06	1	31	370774	1	124	369606	373073	1	125	372306	377022	1	126	375006	2	390	correct	377438	1	126	375006	fal_07906.png	fal_Korb.png	inorganic	37509	ok
62426	08/17/2021 15:50:16	1	32	381504	1	128	380406	383620	1	129	383106	386735	1	130	385806	2	494	correct	387252	1	130	385806	fag_06539.png	fag_Portemonnaie.png	inorganic	37509	ok
62426	08/17/2021 15:50:27	1	33	391384	1	132	391206	394533	1	133	393906	397648	1	134	396606	2	706	correct	398381	1	134	396606	mau_49693.png	mau_Wasserventil.png	inorganic	37509	ok
62426	08/17/2021 15:50:38	1	34	402247	1	136	402006	405229	1	137	404705	408728	1	138	407406	2	303	correct	409061	1	138	407406	faw_14215.png	faw_Kuechenmaschine.png	inorganic	37509	ok
62426	08/17/2021 15:50:48	1	35	413293	1	140	412805	416475	1	141	415506	419791	1	142	418206	2	835	correct	420674	1	142	418206	mat_23275.png	mat_Helm.png	inorganic	37509	ok
62426	08/17/2021 15:50:59	1	36	423223	1	143	420906	425739	1	144	423606	430704	1	146	429005	2	664	correct	431403	1	146	429005	maw_04767.png	maw_Schlauchboot.png	inorganic	37509	ok
62426	08/17/2021 15:51:10	1	37	434602	1	148	434406	437885	1	149	437105	441500	1	150	439806	2	1006	correct	442533	1	151	442506	fab_06018.png	fab_Staubsauger.png	inorganic	37509	ok
62426	08/17/2021 15:51:19	1	38	445349	1	152	445205	447515	1	152	445205	450597	1	153	447906	3	562	correct	451180	1	154	450605	fot_00797.png	fot_Taube.png	organic	37509	ok
62426	08/17/2021 15:51:30	1	39	454312	1	155	453305	457861	1	156	456006	461893	1	158	461405	2	542	correct	462460	1	158	461405	mas_41366.png	mas_Bueroklammer.png	inorganic	37509	ok
62426	08/17/2021 15:51:40	1	40	465642	1	159	464106	467641	1	160	466805	471407	1	161	469505	3	450	correct	471890	1	161	469505	moh_06446.png	moh_Muecke.png	organic	37509	ok
62426	08/17/2021 15:51:50	1	41	475372	1	163	474905	477321	1	163	474905	480553	1	165	480306	3	475	correct	481053	1	165	480306	moj_11821.png	moj_Blatt.png	organic	37509	ok
62426	08/17/2021 15:52:03	1	42	485568	1	166	483005	488617	1	168	488406	493399	1	169	491105	3	281	correct	493716	1	169	491105	mol_07679.png	mol_Pizza.png	organic	37509	ok
62426	08/17/2021 15:52:15	1	43	498181	1	171	496505	501047	1	172	499205	505312	1	174	504605	2	688	correct	506028	1	174	504605	fac_02146.png	fac_Haarbuerste.png	inorganic	37509	ok
62426	08/17/2021 15:52:27	1	44	510377	1	176	510006	511943	1	176	510006	516891	1	178	515405	3	421	correct	517358	1	178	515405	foj_08220.png	foj_Rose.png	organic	37509	ok
62426	08/17/2021 15:52:36	1	45	521856	1	180	520805	523755	1	181	523505	527588	1	182	526206	2	648	correct	528271	1	182	526206	map_41499.png	map_Pfeife.png	inorganic	37509	ok
62426	08/17/2021 15:52:45	1	46	530970	1	183	528905	532686	1	184	531605	536351	1	185	534306	2	926	correct	537301	1	186	537005	faj_07783.png	faj_Schuh.png	inorganic	37509	ok
62426	08/17/2021 15:52:57	1	47	540133	1	187	539705	542749	1	188	542405	547547	1	189	545105	2	379	correct	547964	1	190	547805	fap_16329.png	fap_Knopf.png	inorganic	37509	ok
62426	08/17/2021 15:53:08	1	48	551879	1	191	550505	555195	1	192	553205	558994	1	194	558605	3	901	correct	559927	1	194	558605	foi_03389.png	foi_Pflanze.png	organic	37509	ok
62426	08/17/2021 15:53:21	1	49	563425	1	195	561305	566491	1	196	564005	571206	1	198	569405	3	566	correct	571806	1	198	569405	foc_02664.png	foc_Brombeere.png	organic	37509	ok
62426	08/17/2021 15:53:33	1	50	576504	1	200	574805	578420	1	201	577505	583252	1	203	582905	2	946	correct	584235	1	203	582905	fat_14140.png	fat_Kleiderbuegel.png	inorganic	37509	ok
62426	08/17/2021 15:53:44	1	51	588084	1	204	585605	591466	1	206	591005	595698	1	207	593705	2	179	correct	595898	1	207	593705	mai_23761.png	mai_Auto.png	inorganic	37509	ok
62426	08/17/2021 15:53:54	1	52	599080	1	208	596404	600829	1	209	599105	604545	1	211	604504	3	963	correct	605544	1	211	604504	mob_22833.png	mob_Kiwi.png	organic	37509	ok
62426	08/17/2021 15:54:04	1	53	608860	1	212	607205	611792	1	213	609905	616291	1	215	615305	2	342	correct	616674	1	215	615305	mac_59752.png	mac_Medaille.png	inorganic	37509	ok
62426	08/17/2021 15:54:14	1	54	619656	1	216	618005	621722	1	217	620704	625388	1	218	623405	3	191	correct	625604	1	218	623405	fov_15193.png	fov_Fisch.png	organic	37509	ok
62426	08/17/2021 15:54:24	1	55	629686	1	220	628804	631902	1	221	631505	635518	1	222	634204	3	1042	correct	636584	1	222	634204	mom_59641.png	mom_Loewe.png	organic	37509	ok
62426	08/17/2021 15:54:37	1	56	639766	1	224	639605	643315	1	225	642304	648347	1	227	647706	3	640	correct	649013	1	227	647706	moe_23630.png	moe_Waschbaer.png	organic	37509	ok
62426	08/17/2021 15:54:48	1	57	652262	1	228	650404	654361	1	229	653104	657977	1	230	655805	2	684	correct	658693	1	231	658504	fax_15310.png	fax_Klebeband.png	inorganic	37509	ok
62426	08/17/2021 15:54:59	1	58	663058	1	232	661204	666174	1	233	663905	670956	1	235	669304	2	532	correct	671522	1	235	669304	fai_07637.png	fai_Foehn.png	inorganic	37509	ok
62426	08/17/2021 15:55:11	1	59	674305	1	236	672004	677737	1	238	677404	681435	1	239	680104	2	864	correct	682335	1	239	680104	fan_18894.png	fan_Lampe.png	inorganic	37509	ok
62426	08/17/2021 15:55:24	1	60	686667	1	241	685504	689466	1	242	688204	693931	1	244	693604	3	583	correct	694548	1	244	693604	mos_23223.png	mos_Traube.png	organic	37509	ok
62426	08/17/2021 15:55:35	1	61	698880	1	245	696304	701412	1	246	699004	705177	1	248	704404	2	921	correct	706127	1	248	704404	maj_01546.png	maj_Krawatte.png	inorganic	37509	ok
62426	08/17/2021 15:55:45	1	62	710159	1	250	709804	711725	1	250	709804	716674	1	252	715204	2	1087	incorrect	717790	1	252	715204	foe_08514.png	foe_Tannenzapfen.png	organic	37509	ok
62426	08/17/2021 15:55:58	1	63	720356	1	253	717903	723638	1	255	723304	728303	1	256	726003	3	551	correct	728886	1	257	728704	mog_03277.png	mog_Pilz.png	organic	37509	ok
62426	08/17/2021 15:56:09	1	64	733168	1	258	731404	735301	1	259	734103	740332	1	261	739504	2	722	correct	741082	1	261	739504	far_06518.png	far_Heissluftballon.png	inorganic	37509	ok
62426	08/17/2021 15:56:20	1	65	744531	1	262	742203	746897	1	263	744904	750979	1	265	750303	3	493	correct	751495	1	265	750303	fou_18966.png	fou_Schmetterling.png	organic	37509	ok
62426	08/17/2021 15:56:30	1	66	755494	1	266	753004	757260	1	267	755703	760442	1	268	758403	2	448	correct	760925	1	268	758403	mak_03979.png	mak_Rucksack.png	inorganic	37509	ok
62426	08/17/2021 15:56:41	1	67	764990	1	270	763803	767640	1	271	766503	772138	1	273	771903	3	455	correct	772621	1	273	771903	foq_17341.png	foq_Fenchel.png	organic	37509	ok
62426	08/17/2021 15:56:51	1	68	776753	1	274	774603	778719	1	275	777304	781935	1	276	780003	3	581	correct	782551	1	276	780003	foa_00426.png	foa_Aubergine.png	organic	37509	ok
