ID	DateTime	Run	Delayed_Retrieval_Trial	First_Pulse_Time	FaceRecog_OnsetTime	FaceRecog_OnsetTimeUncertainty	FaceRecog_fMRI_Pulse	FaceRecog_fMRI_PulseTime	Assoc_Retrieval_OnsetTime	Assoc_Retrieval_OnsetTimeUncertainty	Assoc_Retrieval_fMRI_Pulse	Assoc_Retrieval_fMRI_PulseTime	Assoc_Retrieval_Pressed_Button	Assoc_Retrieval_RT	Assoc_Retrieval_Response_Category	Assoc_Retrieval_Accuracy	Assoc_Retrieval_Feedback_OnsetTime	Assoc_Retrieval_Feedback_OnsetTimeUncertainty	Assoc_Retrieval_Feedback_fMRI_Pulse	Assoc_Retrieval_Feedback_fMRI_PulseTime	Retrieval_consc_Rating_OnsetTime	Retrieval_consc_Rating_OnsetTimeUncertainty	Retrieval_consc_Rating_fMRI_Pulse	Retrieval_consc_Rating_fMRI_PulseTime	Retrieval_consc_Rating_Pressed_Button	Retrieval_consc_Rating_RT	Retrieval_consc_Rating_Feedback_OnsetTime	Retrieval_consc_Rating_Feedback_OnsetTimeUncertainty	Retrieval_consc_Rating_Feedback_fMRI_Pulse	Retrieval_consc_Rating_Feedback_fMRI_PulseTime	ForcedChoice_OnsetTime	ForcedChoice_OnsetTimeUncertainty	ForcedChoice_fMRI_Pulse	ForcedChoice_fMRI_PulseTime	ForcedChoice_Pressed_Button	ForcedChoice_RT	ForcedChoice_Response_Category	ForcedChoice_Accuracy	ForcedChoice_Feedback_OnsetTime	ForcedChoice_Feedback_OnsetTimeUncertainty	ForcedChoice_Feedback_fMRI_Pulse	ForcedChoice_Feedback_fMRI_PulseTime	Recognition_consc_Rating_OnsetTime	Recognition_consc_Rating_OnsetTimeUncertainty	Recognition_consc_Rating_fMRI_Pulse	Recognition_consc_Rating_fMRI_PulseTime	Recognition_consc_Rating_Pressed_Button	Recognition_consc_Rating_RT	Recognition_consc_Rating_Feedback_OnsetTime	Recognition_consc_Rating_Feedback_OnsetTimeUncertainty	Recognition_consc_Rating_Feedback_fMRI_Pulse	Recognition_consc_Rating_Feedback_fMRI_PulseTime	Presented_Person	Presented_Target	Presented_Lure	TrialStatus
66287	09/15/2021 14:13:05	1	1	47594	63361	1	6	61091	65511	1	7	63793	3	946	inorganic	incorrect	66477	1	7	63793	69176	1	8	66493	4	1172	70376	1	9	69193	74474	1	10	71893	2	947	inorganic	correct	75457	1	11	74593	79106	1	12	77293	4	684	79822	1	12	77293	map_41499.png	map_Pfeife.png	map_Globus.png	ok
66287	09/15/2021 14:13:24	1	2	47594	83071	1	14	82693	85670	1	15	85393	2	1271	organic	incorrect	86970	1	15	85393	89086	1	16	88093	2	937	90052	1	16	88093	92918	1	17	90793	3	2201	organic	correct	95151	1	18	93493	98050	1	19	96193	2	1753	99832	1	20	98893	mon_65798.png	mon_Fuchs.png	mon_Kartoffel.png	ok
66287	09/15/2021 14:13:44	1	3	47594	101715	1	21	101593	103398	1	21	101593	3	1226	inorganic	incorrect	104647	1	22	104293	107880	1	23	106993	3	1462	109362	1	23	106993	112811	1	25	112393	2	2106	inorganic	incorrect	114944	1	25	112393	116793	1	26	115093	2	911	117726	1	26	115093	fai_07494.png	fai_Kommode.png	fai_Foehn.png	ok
66287	09/15/2021 14:14:04	1	4	47594	121742	1	28	120493	124357	1	29	123193	3	1318	inorganic	incorrect	125707	1	29	123193	127923	1	30	125892	2	770	128723	1	31	128593	132505	1	32	131293	2	1737	inorganic	incorrect	134271	1	33	133992	136570	1	33	133992	2	861	137453	1	34	136693	faw_14215.png	faw_Hufeisen.png	faw_Kuechenmaschine.png	ok
66287	09/15/2021 14:14:24	1	5	47594	141718	1	35	139393	144334	1	36	142092	2	1356	organic	incorrect	145717	1	37	144793	149466	1	38	147493	2	532	150032	1	38	147493	152814	1	39	150192	2	1513	organic	correct	154347	1	40	152893	156846	1	41	155593	4	1296	158179	1	41	155593	for_15187.png	for_Mandel.png	for_Seehund.png	ok
66287	09/15/2021 14:14:44	1	6	47594	161995	1	43	160993	163611	1	43	160993	3	1469	inorganic	incorrect	165110	1	44	163692	167943	1	45	166392	2	1206	169176	1	46	169093	172374	1	47	171792	2	2191	inorganic	correct	174590	1	48	174492	177423	1	49	177193	2	843	178289	1	49	177193	fag_06539.png	fag_Geschenk.png	fag_Portemonnaie.png	ok
66287	09/15/2021 14:15:06	1	7	47594	181605	1	50	179892	184870	1	51	182592	2	680	organic	incorrect	185587	1	52	185293	189285	1	53	187992	3	1434	190752	1	54	190692	193767	1	55	193393	2	2598	organic	incorrect	196400	1	56	196092	199115	1	57	198792	2	1459	200598	1	57	198792	fou_17118.png	fou_Schmetterling.png	fou_Feige.png	ok
66287	09/15/2021 14:15:28	1	8	47594	203897	1	58	201493	206263	1	59	204192	2	1549	inorganic	correct	207846	1	60	206892	211128	1	61	209593	2	529	211678	1	61	209593	215493	1	63	214992	2	2013	inorganic	correct	217526	1	63	214992	220558	1	65	220392	3	277	220875	1	65	220392	fat_12032.png	fat_Kleiderbuegel.png	fat_Einkaufswagen.png	ok
66287	09/15/2021 14:15:47	1	9	47594	225606	1	66	223092	228405	1	67	225792	2	1872	inorganic	correct	230305	1	68	228492	232771	1	69	231192	2	257	233054	1	69	231192	237369	1	71	236592	2	1288	inorganic	correct	238685	1	71	236592	241068	1	72	239292	4	1415	242517	1	73	241992	fab_06018.png	fab_Staubsauger.png	fab_Kinderwagen.png	ok
66287	09/15/2021 14:16:07	1	10	47594	245050	1	74	244692	248165	1	75	247392	3	1475	organic	correct	249665	1	75	247392	252364	1	76	250092	2	579	252980	1	77	252792	256346	1	78	255492	2	1940	organic	correct	258312	1	79	258192	260811	1	79	258192	3	1005	261844	1	80	260892	fov_15046.png	fov_Fisch.png	fov_Zucchini.png	ok
66287	09/15/2021 14:16:29	1	11	47594	264960	1	81	263592	266859	1	82	266292	2	1788	organic	incorrect	268675	1	82	266292	271558	1	83	268992	3	1409	272990	1	84	271691	276573	1	85	274392	2	730	organic	correct	277322	1	86	277092	280938	1	87	279791	4	544	281504	1	87	279791	fop_00621.png	fop_Mango.png	fop_Koala.png	ok
66287	09/15/2021 14:16:49	1	12	47594	286219	1	89	285192	287869	1	89	285192	2	992	inorganic	correct	288885	1	90	287891	291534	1	91	290592	4	584	292151	1	91	290592	296766	1	93	295991	2	746	inorganic	correct	297532	1	93	295991	301048	1	94	298692	4	649	301731	1	95	301392	fap_16329.png	fap_Knopf.png	fap_Kissen.png	ok
66287	09/15/2021 14:17:11	1	13	47594	306162	1	96	304091	309711	1	98	309492	3	565	organic	correct	310311	1	98	309492	313710	1	99	312191	3	1051	314793	1	99	312191	318442	1	101	317591	3	1884	organic	correct	320374	1	102	320291	323123	1	103	322992	3	620	323773	1	103	322992	mog_03090.png	mog_Fledermaus.png	mog_Pilz.png	ok
66287	09/15/2021 14:17:29	1	14	47594	328288	1	104	325691	329988	1	105	328391	3	885	organic	correct	330904	1	105	328391	334136	1	107	333791	4	335	334503	1	107	333791	338418	1	108	336491	3	791	organic	correct	339235	1	109	339192	342767	1	110	341891	4	303	343100	1	110	341891	mou_01862.png	mou_Kraehe.png	mou_Croissant.png	ok
66287	09/15/2021 14:17:48	1	15	47594	346832	1	111	344591	348398	1	112	347292	2	1424	organic	incorrect	349848	1	112	347292	352980	1	114	352691	2	232	353247	1	114	352691	356412	1	115	355392	3	1605	organic	correct	358045	1	115	355392	361194	1	117	360791	3	251	361477	1	117	360791	fok_09378.png	fok_Palme.png	fok_Kaenguruh.png	ok
66287	09/15/2021 14:18:07	1	16	47594	365176	1	118	363492	367275	1	119	366191	2	1716	organic	incorrect	369041	1	120	368891	371140	1	120	368891	2	1832	373007	1	121	371591	374823	1	122	374291	3	1944	organic	correct	376789	1	122	374291	379338	1	123	376991	4	600	379971	1	124	379691	moe_02012.png	moe_Waschbaer.png	moe_Pommes.png	ok
66287	09/15/2021 14:18:27	1	17	47594	384503	1	125	382391	386369	1	126	385091	2	1882	inorganic	correct	388285	1	127	387791	391134	1	128	390491	2	797	391967	1	128	390491	395016	1	129	393191	2	1417	inorganic	incorrect	396465	1	130	395891	399981	1	131	398591	3	1284	401297	1	131	398591	mal_04470.png	mal_Drucker.png	mal_Kugelschreiber.png	ok
66287	09/15/2021 14:18:46	1	18	47594	404229	1	133	403991	406578	1	133	403991	3	1274	inorganic	incorrect	407878	1	134	406691	410177	1	135	409391	2	289	410494	1	135	409391	414909	1	137	414791	2	1907	inorganic	incorrect	416842	1	137	414791	418908	1	138	417491	2	1307	420257	1	139	420191	mak_00987.png	mak_Rucksack.png	mak_Socken.png	ok
66287	09/15/2021 14:19:05	1	19	47594	423873	1	140	422891	426272	1	141	425590	2	1942	inorganic	correct	428238	1	141	425590	430054	1	142	428291	2	1108	431187	1	143	430991	434669	1	144	433690	3	2217	inorganic	correct	436918	1	145	436391	438468	1	145	436391	4	971	439467	1	146	439091	mau_49693.png	mau_Wasserventil.png	mau_Leiter.png	ok
66287	09/15/2021 14:19:25	1	20	47594	442916	1	147	441790	444599	1	148	444491	3	1668	inorganic	incorrect	446298	1	148	444491	448947	1	149	447191	2	351	449331	1	149	447191	453329	1	151	452591	2	1567	inorganic	correct	454929	1	151	452591	458827	1	153	457990	4	1069	459927	1	153	457990	fal_07906.png	fal_Korb.png	fal_Buegeleisen.png	ok
66287	09/15/2021 14:19:45	1	21	47594	462660	1	154	460691	464825	1	155	463391	2	1316	organic	incorrect	466175	1	156	466090	469241	1	157	468791	2	378	469657	1	157	468791	473089	1	158	471490	2	2280	organic	correct	475389	1	159	474190	478604	1	160	476891	4	379	479004	1	160	476891	foc_02157.png	foc_Brombeere.png	foc_Eule.png	ok
66287	09/15/2021 14:20:06	1	22	47594	482469	1	162	482290	485485	1	163	484991	2	351	inorganic	correct	485868	1	163	484991	489834	1	164	487690	2	256	490117	1	164	487690	494982	1	166	493091	2	1618	inorganic	incorrect	496631	1	167	495790	499947	1	168	498490	3	248	500230	1	168	498490	maw_04767.png	maw_Pingpongschlaeger.png	maw_Schlauchboot.png	ok
66287	09/15/2021 14:20:27	1	23	47594	503512	1	169	501191	506295	1	170	503890	2	1504	inorganic	correct	507828	1	171	506590	511326	1	172	509291	3	1796	513159	1	173	511990	516558	1	174	514690	3	1971	inorganic	correct	518574	1	175	517390	520890	1	176	520090	3	1765	522689	1	176	520090	mac_59169.png	mac_Medaille.png	mac_Dartpfeil.png	ok
66287	09/15/2021 14:20:49	1	24	47594	524239	1	177	522790	527704	1	178	525490	3	1678	inorganic	incorrect	529404	1	179	528190	532952	1	179	528190	2	1132	534119	1	180	533590	537951	1	181	536290	3	1717	inorganic	incorrect	539700	1	182	538990	542966	1	183	541690	2	624	543615	1	183	541690	far_00736.png	far_Heissluftballon.png	far_Giesskanne.png	ok
66287	09/15/2021 14:21:06	1	25	47594	546398	1	184	544390	548630	1	185	547090	2	1800	organic	incorrect	550463	1	186	549790	552529	1	187	552490	2	545	553096	1	187	552490	555945	1	188	555190	3	1593	organic	correct	557561	1	188	555190	560293	1	189	557890	2	1811	562126	1	190	560590	moh_06446.png	moh_Birne.png	moh_Muecke.png	ok
66287	09/15/2021 14:21:26	1	26	47594	564108	1	191	563289	565858	1	191	563289	3	2311	organic	correct	568207	1	192	565990	569607	1	193	568690	2	1037	570673	1	193	568690	574488	1	195	574090	3	2417	organic	incorrect	576937	1	196	576790	579753	1	197	579489	2	294	580070	1	197	579489	foa_00207.png	foa_Marienkaefer.png	foa_Aubergine.png	ok
66287	09/15/2021 14:21:44	1	27	47594	583868	1	198	582190	586951	1	199	584890	2	1443	inorganic	correct	588417	1	200	587589	590999	1	201	590290	2	248	591283	1	201	590290	594648	1	202	592990	2	1805	inorganic	incorrect	596481	1	203	595689	598514	1	204	598390	2	1007	599547	1	204	598390	mao_11634.png	mao_Stempel.png	mao_Kegel.png	ok
66287	09/15/2021 14:22:05	1	28	47594	601946	1	205	601090	604312	1	206	603789	3	945	organic	correct	605278	1	206	603789	609160	1	207	606490	3	297	609493	1	208	609190	613525	1	209	611889	3	1406	organic	correct	614975	1	210	614590	618373	1	211	617289	3	374	618773	1	211	617289	foj_08220.png	foj_Waffel.png	foj_Rose.png	ok
66287	09/15/2021 14:22:24	1	29	47594	622689	1	212	619989	624305	1	213	622690	2	1917	organic	incorrect	626254	1	214	625389	628703	1	215	628089	2	827	629553	1	215	628089	633202	1	216	630790	2	1804	organic	correct	635034	1	217	633489	638350	1	218	636189	4	241	638617	1	218	636189	moj_11821.png	moj_Walnuss.png	moj_Blatt.png	ok
66287	09/15/2021 14:22:44	1	30	47594	642115	1	220	641589	643748	1	220	641589	2	1754	organic	incorrect	645531	1	221	644289	647930	1	222	646990	2	839	648796	1	222	646990	651945	1	223	649689	2	1986	organic	correct	653961	1	224	652389	657494	1	225	655090	2	221	657743	1	225	655090	mot_69374.png	mot_Hotdog.png	mot_Bison.png	ok
66287	09/15/2021 14:23:04	1	31	47594	661326	1	227	660489	664325	1	228	663189	2	1712	inorganic	correct	666074	1	229	665889	669473	1	230	668589	2	697	670206	1	230	668589	672988	1	231	671289	3	1836	inorganic	incorrect	674854	1	232	673989	678137	1	233	676689	3	1481	679653	1	234	679389	mai_06530.png	mai_Auto.png	mai_Gewehr.png	ok
66287	09/15/2021 14:23:25	1	32	47594	681485	1	234	679389	683768	1	235	682089	3	590	organic	correct	684384	1	235	682089	688533	1	237	687489	2	411	688966	1	237	687489	692682	1	238	690189	3	2321	organic	incorrect	695031	1	239	692889	698013	1	240	695589	3	284	698330	1	241	698289	fot_00797.png	fot_Salat.png	fot_Taube.png	ok
66287	09/15/2021 14:23:45	1	33	47594	702495	1	242	700989	704461	1	243	703689	2	1432	inorganic	correct	705927	1	243	703689	709543	1	245	709089	4	842	710409	1	245	709089	713508	1	246	711789	2	759	inorganic	correct	714308	1	246	711789	718073	1	248	717188	4	703	718806	1	248	717188	mat_23275.png	mat_Helm.png	mat_Feuerzeug.png	ok
66287	09/15/2021 14:24:04	1	34	47594	723121	1	250	722589	724837	1	250	722589	2	1358	organic	incorrect	726220	1	251	725288	729103	1	252	727989	2	1289	730419	1	252	727989	732868	1	253	730689	2	1596	organic	correct	734484	1	254	733388	737916	1	255	736089	4	234	738183	1	255	736089	mos_20953.png	mos_Eintagsfliege.png	mos_Traube.png	ok
66287	09/15/2021 14:24:25	1	35	47594	741565	1	257	741488	743914	1	257	741488	2	1376	inorganic	correct	745314	1	258	744189	748046	1	259	746889	2	615	748696	1	259	746889	753228	1	261	752289	3	1980	inorganic	incorrect	755244	1	262	754989	757193	1	262	754989	2	917	758143	1	263	757688	mae_01010.png	mae_Schach.png	mae_Taschenrechner.png	ok
66287	09/15/2021 14:24:44	1	36	47594	762508	1	264	760389	764841	1	265	763088	3	1797	organic	correct	766673	1	266	765788	769422	1	267	768489	2	1032	770489	1	267	768489	772805	1	268	771188	2	1510	organic	correct	774337	1	269	773888	777370	1	270	776589	2	846	778236	1	270	776589	foi_03389.png	foi_Pflanze.png	foi_Apfelkuchen.png	ok
66287	09/15/2021 14:25:05	1	37	47594	782135	1	272	781988	785217	1	273	784689	2	697	organic	incorrect	785950	1	273	784689	789382	1	274	787388	4	255	789665	1	274	787388	793098	1	276	792789	3	2002	organic	incorrect	795130	1	276	792789	797180	1	277	795488	3	930	798146	1	277	795488	mom_59361.png	mom_Ei.png	mom_Loewe.png	ok
66287	09/15/2021 14:25:26	1	38	47594	802311	1	279	800889	805077	1	280	803588	2	662	inorganic	correct	805760	1	280	803588	810159	1	282	808988	3	1709	811908	1	283	811688	814640	1	284	814388	3	1025	inorganic	correct	815690	1	284	814388	819339	1	285	817088	4	743	820105	1	286	819788	fan_17286.png	fan_Lampe.png	fan_Klavier.png	ok
66287	09/15/2021 14:25:46	1	39	47594	823904	1	287	822488	825553	1	288	825188	3	866	organic	correct	826453	1	288	825188	829552	1	289	827888	2	1745	831318	1	290	830588	834150	1	291	833288	2	1380	organic	incorrect	835550	1	291	833288	839299	1	293	838688	3	310	839632	1	293	838688	foq_16799.png	foq_Fenchel.png	foq_Pinguin.png	ok
