ID	DateTime	Run	Encoding_Trial	FaceBase_OnsetTime	FaceBase_OnsetTimeUncertainty	FaceBase_fMRI_Pulse	FaceBase_fMRI_PulseTime	Assoc_Encoding_OnsetTime	Assoc_Encoding_OnsetTimeUncertainty	Assoc_Encoding_fMRI_Pulse	Assoc_Encoding_fMRI_PulseTime	Immediate_Recall_OnsetTime	Immediate_Recall_OnsetTimeUncertainty	Immediate_Recall_fMRI_Pulse	Immediate_Recall_fMRI_PulseTime	Immediate_Recall_Pressed_Button	Immediate_Recall_RT	Immediate_Recall_Accuracy	Immediate_Recall_Feedback_OnsetTime	Immediate_Recall_Feedback_OnsetTimeUncertainty	Immediate_Recall_Feedback_fMRI_Pulse	Immediate_Recall_Feedback_fMRI_PulseTime	Presented_Person	Presented_Object	Object_Category	First_pulse_time	TrialStatus
64763	08/10/2021 14:47:19	1	1	87253	1	6	86460	90336	1	7	88582	93918	1	9	92822	2	572	correct	94518	1	9	92822	mac_59169.png	mac_Dartpfeil.png	inorganic	75863	ok
64763	08/10/2021 14:47:29	1	2	98783	1	11	97062	102132	1	13	101302	105764	1	15	105542	2	538	correct	106330	1	15	105542	faj_07783.png	faj_Parfuem.png	inorganic	75863	ok
64763	08/10/2021 14:47:39	1	3	109179	1	16	107662	110779	1	17	109782	114694	1	19	114022	3	516	correct	115244	1	19	114022	mol_07679.png	mol_Schimpanse.png	organic	75863	ok
64763	08/10/2021 14:47:49	1	4	118826	1	21	118262	120559	1	22	120382	124957	1	24	124622	2	580	incorrect	125574	1	24	124622	mos_20953.png	mos_Traube.png	organic	75863	ok
64763	08/10/2021 14:48:00	1	5	128739	1	25	126742	130422	1	26	128862	134954	1	28	133102	2	720	correct	135704	1	29	135222	mai_06530.png	mai_Auto.png	inorganic	75863	ok
64763	08/10/2021 14:48:11	1	6	139669	1	31	139462	141269	1	31	139462	145550	1	33	143702	3	654	correct	146234	1	34	145821	foa_00207.png	foa_Marienkaefer.png	organic	75863	ok
64763	08/10/2021 14:48:21	1	7	150699	1	36	150062	153248	1	37	152182	156513	1	39	156422	3	511	correct	157047	1	39	156422	for_15187.png	for_Seehund.png	organic	75863	ok
64763	08/10/2021 14:48:31	1	8	160645	1	40	158542	163978	1	42	162781	167093	1	44	167022	3	591	correct	167726	1	44	167022	foc_02157.png	foc_Brombeere.png	organic	75863	ok
64763	08/10/2021 14:48:40	1	9	171142	1	45	169141	172908	1	46	171261	175973	1	48	175502	2	739	correct	176740	1	48	175502	fax_14883.png	fax_Klebeband.png	inorganic	75863	ok
64763	08/10/2021 14:48:50	1	10	179955	1	50	179742	181588	1	50	179742	185104	1	52	183981	2	678	correct	185803	1	52	183981	fac_02146.png	fac_Ohrring.png	inorganic	75863	ok
64763	08/10/2021 14:49:02	1	11	190335	1	54	188222	192651	1	56	192461	197166	1	58	196702	2	561	correct	197749	1	58	196702	mas_41366.png	mas_Tisch.png	inorganic	75863	ok
64763	08/10/2021 14:49:12	1	12	201565	1	60	200941	203398	1	61	203061	207313	1	62	205182	3	498	correct	207846	1	63	207301	moe_02012.png	moe_Pommes.png	organic	75863	ok
64763	08/10/2021 14:49:22	1	13	211512	1	64	209421	213761	1	66	213662	218176	1	68	217901	2	443	correct	218659	1	68	217901	fag_06539.png	fag_Geschenk.png	inorganic	75863	ok
64763	08/10/2021 14:49:34	1	14	221691	1	69	220022	223724	1	70	222141	228772	1	73	228502	2	1047	correct	229855	1	73	228502	map_41499.png	map_Globus.png	inorganic	75863	ok
64763	08/10/2021 14:49:44	1	15	233721	1	75	232741	236187	1	76	234861	240835	1	78	239101	3	364	correct	241235	1	78	239101	mog_03090.png	mog_Fledermaus.png	organic	75863	ok
64763	08/10/2021 14:49:54	1	16	244250	1	80	243341	246566	1	81	245461	249882	1	83	249701	2	649	correct	250565	1	83	249701	mae_01010.png	mae_Taschenrechner.png	inorganic	75863	ok
64763	08/10/2021 14:50:05	1	17	254164	1	85	253941	257113	1	86	256061	261061	1	88	260301	2	467	correct	261561	1	88	260301	mau_49693.png	mau_Wasserventil.png	inorganic	75863	ok
64763	08/10/2021 14:50:16	1	18	265310	1	90	264541	267743	1	91	266661	272424	1	93	270901	2	476	correct	272924	1	93	270901	fat_12032.png	fat_Einkaufswagen.png	inorganic	75863	ok
64763	08/10/2021 14:50:26	1	19	276273	1	95	275140	278622	1	96	277261	282538	1	98	281501	3	402	correct	282971	1	98	281501	mot_69374.png	mot_Hotdog.png	organic	75863	ok
64763	08/10/2021 14:50:38	1	20	286453	1	100	285741	288819	1	101	287861	293434	1	103	292101	2	597	correct	294067	1	103	292101	fai_07494.png	fai_Kommode.png	inorganic	75863	ok
64763	08/10/2021 14:50:49	1	21	298249	1	105	296341	300448	1	106	298460	303597	1	108	302701	3	737	correct	304364	1	108	302701	foi_03389.png	foi_Apfelkuchen.png	organic	75863	ok
64763	08/10/2021 14:50:58	1	22	308829	1	110	306940	310661	1	111	309061	313877	1	113	313300	2	471	correct	314393	1	113	313300	fal_07906.png	fal_Buegeleisen.png	inorganic	75863	ok
64763	08/10/2021 14:51:07	1	23	317526	1	114	315420	319109	1	115	317541	322191	1	117	321780	3	942	correct	323157	1	117	321780	moh_06446.png	moh_Muecke.png	organic	75863	ok
64763	08/10/2021 14:51:19	1	24	327156	1	119	326021	328722	1	120	328140	333537	1	122	332381	2	595	correct	334153	1	122	332381	mat_23275.png	mat_Feuerzeug.png	inorganic	75863	ok
64763	08/10/2021 14:51:30	1	25	338835	1	125	338740	341601	1	126	340861	345800	1	128	345100	2	396	correct	346233	1	128	345100	fap_16329.png	fap_Kissen.png	inorganic	75863	ok
64763	08/10/2021 14:51:38	1	26	349732	1	130	349341	351314	1	130	349341	354863	1	132	353580	2	347	correct	355246	1	132	353580	mak_00987.png	mak_Socken.png	inorganic	75863	ok
64763	08/10/2021 14:51:49	1	27	358395	1	134	357821	361661	1	135	359940	365626	1	137	364180	2	565	correct	366243	1	137	364180	fan_17286.png	fan_Lampe.png	inorganic	75863	ok
64763	08/10/2021 14:52:01	1	28	369242	1	139	368420	372157	1	140	370540	376089	1	142	374780	2	467	correct	376589	1	142	374780	far_00736.png	far_Heissluftballon.png	inorganic	75863	ok
64763	08/10/2021 14:52:12	1	29	381021	1	144	379020	382820	1	145	381141	386669	1	147	385380	2	556	correct	387252	1	147	385380	faw_14215.png	faw_Hufeisen.png	inorganic	75863	ok
64763	08/10/2021 14:52:22	1	30	391634	1	149	389620	394300	1	151	393860	398049	1	152	395980	3	397	correct	398482	1	153	398100	foq_16799.png	foq_Pinguin.png	organic	75863	ok
64763	08/10/2021 14:52:34	1	31	402081	1	154	400220	404030	1	155	402340	408595	1	157	406580	2	466	correct	409095	1	158	408700	mao_11634.png	mao_Stempel.png	inorganic	75863	ok
64763	08/10/2021 14:52:45	1	32	413910	1	160	412940	416476	1	161	415060	421424	1	163	419300	3	474	correct	421924	1	164	421420	mou_01862.png	mou_Kraehe.png	organic	75863	ok
64763	08/10/2021 14:52:56	1	33	425106	1	165	423540	427989	1	167	427779	432104	1	169	432020	3	394	correct	432520	1	169	432020	fov_15046.png	fov_Zucchini.png	organic	75863	ok
64763	08/10/2021 14:53:08	1	34	436386	1	171	436259	439851	1	172	438380	443600	1	174	442620	3	412	correct	444050	1	174	442620	moj_11821.png	moj_Blatt.png	organic	75863	ok
64763	08/10/2021 14:53:18	1	35	447932	1	176	446860	449898	1	177	448980	453697	1	179	453220	3	695	correct	454430	1	179	453220	mon_65798.png	mon_Fuchs.png	organic	75863	ok
64763	08/10/2021 14:53:30	1	36	458378	1	181	457460	461760	1	183	461700	465426	1	184	463820	3	704	correct	466176	1	185	465939	foe_08236.png	foe_Adler.png	organic	75863	ok
64763	08/10/2021 14:53:41	1	37	469774	1	186	468059	472090	1	187	470180	476406	1	189	474419	3	843	correct	477272	1	190	476539	mob_00760.png	mob_Igel.png	organic	75863	ok
64763	08/10/2021 14:53:51	1	38	480821	1	192	480779	482587	1	192	480779	486502	1	194	485020	2	404	correct	486935	1	194	485020	fab_06018.png	fab_Staubsauger.png	inorganic	75863	ok
64763	08/10/2021 14:54:03	1	39	490934	1	196	489259	494250	1	198	493500	498082	1	200	497739	3	642	correct	498748	1	200	497739	mof_02408.png	mof_Hahn.png	organic	75863	ok
64763	08/10/2021 14:54:13	1	40	502797	1	202	501980	505246	1	203	504099	508811	1	205	508339	2	306	correct	509144	1	205	508339	maj_01545.png	maj_Krawatte.png	inorganic	75863	ok
64763	08/10/2021 14:54:25	1	41	513493	1	207	512580	515876	1	208	514699	519974	1	210	518940	3	370	correct	520374	1	210	518940	fok_09378.png	fok_Palme.png	organic	75863	ok
64763	08/10/2021 14:54:37	1	42	525256	1	212	523179	528021	1	214	527419	532270	1	216	531659	3	315	correct	532620	1	216	531659	fop_00621.png	fop_Koala.png	organic	75863	ok
64763	08/10/2021 14:54:50	1	43	537235	1	218	535899	540617	1	220	540140	545366	1	222	544379	3	631	correct	546032	1	222	544379	fot_00797.png	fot_Salat.png	organic	75863	ok
64763	08/10/2021 14:55:02	1	44	550431	1	224	548619	553596	1	226	552859	558261	1	228	557100	2	402	correct	558694	1	228	557100	mal_04470.png	mal_Kugelschreiber.png	inorganic	75863	ok
64763	08/10/2021 14:55:12	1	45	561727	1	230	561340	563626	1	231	563460	567392	1	232	565580	3	340	correct	567758	1	233	567700	fou_17118.png	fou_Feige.png	organic	75863	ok
64763	08/10/2021 14:55:23	1	46	572257	1	235	571940	574572	1	236	574060	578588	1	238	578300	2	429	correct	579054	1	238	578300	maw_04767.png	maw_Pingpongschlaeger.png	inorganic	75863	ok
64763	08/10/2021 14:55:33	1	47	582553	1	239	580418	585552	1	241	584660	589984	1	243	588898	3	241	correct	590250	1	243	588898	mom_59361.png	mom_Loewe.png	organic	75863	ok
64763	08/10/2021 14:55:45	1	48	593333	1	245	593140	596732	1	246	595260	600747	1	248	599500	3	969	correct	601747	1	249	601620	foj_08220.png	foj_Rose.png	organic	75863	ok
64763	08/10/2021 14:55:55	1	49	604496	1	250	603739	606362	1	251	605860	610727	1	253	610100	2	278	correct	611043	1	253	610100	mac_59752.png	mac_Medaille.png	inorganic	75863	ok
64763	08/10/2021 14:56:06	1	50	615442	1	255	614340	617941	1	256	616460	622056	1	258	620699	2	472	correct	622556	1	258	620699	faj_07849.png	faj_Schuh.png	inorganic	75863	ok
64763	08/10/2021 14:56:18	1	51	626322	1	260	624940	629221	1	262	629179	634152	1	264	633419	2	817	incorrect	635002	1	264	633419	mol_11363.png	mol_Pizza.png	organic	75863	ok
64763	08/10/2021 14:56:31	1	52	637951	1	266	637659	641033	1	267	639780	645848	1	269	644019	3	775	correct	646648	1	270	646140	mos_23223.png	mos_Eintagsfliege.png	organic	75863	ok
64763	08/10/2021 14:56:41	1	53	650563	1	272	650379	652746	1	273	652499	656595	1	274	654620	2	420	correct	657045	1	275	656739	mai_23761.png	mai_Gewehr.png	inorganic	75863	ok
64763	08/10/2021 14:56:52	1	54	661476	1	277	660979	664142	1	278	663100	667391	1	280	667339	3	450	correct	667874	1	280	667339	foa_00426.png	foa_Aubergine.png	organic	75863	ok
64763	08/10/2021 14:57:01	1	55	672389	1	282	671580	674106	1	283	673699	677888	1	284	675819	3	272	correct	678188	1	285	677939	for_15880.png	for_Mandel.png	organic	75863	ok
64763	08/10/2021 14:57:14	1	56	681403	1	286	680059	684519	1	288	684299	688867	1	290	688539	3	363	correct	689267	1	290	688539	foc_02664.png	foc_Eule.png	organic	75863	ok
64763	08/10/2021 14:57:26	1	57	694182	1	292	692779	696965	1	293	694899	701929	1	296	701259	2	408	correct	702363	1	296	701259	fax_15310.png	fax_Fahrrad.png	inorganic	75863	ok
64763	08/10/2021 14:57:36	1	58	705628	1	298	705499	707661	1	299	707619	711010	1	300	709739	2	440	correct	711493	1	300	709739	fac_02970.png	fac_Haarbuerste.png	inorganic	75863	ok
64763	08/10/2021 14:57:47	1	59	716075	1	302	713979	718657	1	304	718219	722473	1	305	720339	2	567	correct	723072	1	306	722459	mas_41937.png	mas_Bueroklammer.png	inorganic	75863	ok
64763	08/10/2021 14:58:00	1	60	727004	1	308	726699	730470	1	309	728819	735285	1	312	735179	3	337	correct	735651	1	312	735179	moe_23630.png	moe_Waschbaer.png	organic	75863	ok
64763	08/10/2021 14:58:10	1	61	739950	1	314	739419	741533	1	314	739419	745531	1	316	743659	2	338	correct	745898	1	317	745779	fag_06551.png	fag_Portemonnaie.png	inorganic	75863	ok
64763	08/10/2021 14:58:20	1	62	749680	1	318	747899	752046	1	319	750018	755361	1	321	754259	2	611	correct	755995	1	321	754259	map_49576.png	map_Pfeife.png	inorganic	75863	ok
64763	08/10/2021 14:58:31	1	63	759960	1	323	758498	763425	1	325	762739	767807	1	327	766979	3	448	correct	768290	1	327	766979	mog_03277.png	mog_Pilz.png	organic	75863	ok
64763	08/10/2021 14:58:43	1	64	771473	1	329	771218	774738	1	330	773338	778270	1	332	777579	2	1306	correct	779603	1	332	777579	mae_36426.png	mae_Schach.png	inorganic	75863	ok
64763	08/10/2021 14:58:53	1	65	782902	1	334	781818	784885	1	335	783939	788817	1	337	788178	2	441	correct	789283	1	337	788178	mau_58144.png	mau_Leiter.png	inorganic	75863	ok
64763	08/10/2021 14:59:05	1	66	793049	1	339	792419	796514	1	340	794538	800130	1	342	798778	2	731	correct	800896	1	342	798778	fat_14140.png	fat_Kleiderbuegel.png	inorganic	75863	ok
64763	08/10/2021 14:59:17	1	67	805311	1	345	805138	807777	1	346	807259	812259	1	348	811498	3	478	correct	812759	1	348	811498	mot_69770.png	mot_Bison.png	organic	75863	ok
64763	08/10/2021 14:59:28	1	68	816508	1	350	815739	818407	1	351	817858	823339	1	353	822098	2	305	correct	823672	1	353	822098	fai_07637.png	fai_Foehn.png	inorganic	75863	ok
64763	08/10/2021 14:59:37	1	69	827520	1	355	826338	829520	1	356	828458	832969	1	358	832698	3	304	correct	833302	1	358	832698	foi_05187.png	foi_Pflanze.png	organic	75863	ok
64763	08/10/2021 14:59:49	1	70	836834	1	359	834818	840166	1	361	839059	844648	1	363	843298	2	768	correct	845448	1	363	843298	fal_07977.png	fal_Korb.png	inorganic	75863	ok
64763	08/10/2021 15:00:01	1	71	849296	1	365	847538	852146	1	367	851778	856511	1	369	856018	3	358	correct	856911	1	369	856018	moh_07125.png	moh_Birne.png	organic	75863	ok
64763	08/10/2021 15:00:11	1	72	861359	1	371	860258	863542	1	372	862377	866691	1	374	866618	2	755	correct	867474	1	374	866618	mat_23754.png	mat_Helm.png	inorganic	75863	ok
64763	08/10/2021 15:00:24	1	73	870823	1	375	868738	873838	1	377	872978	878537	1	379	877218	2	358	correct	878920	1	379	877218	fap_17119.png	fap_Knopf.png	inorganic	75863	ok
64763	08/10/2021 15:00:34	1	74	883668	1	382	883578	886467	1	383	885697	890316	1	385	889938	2	563	correct	890916	1	385	889938	mak_03979.png	mak_Rucksack.png	inorganic	75863	ok
64763	08/10/2021 15:00:46	1	75	893931	1	386	892058	896814	1	388	896298	901129	1	390	900537	2	340	correct	901496	1	390	900537	fan_18894.png	fan_Klavier.png	inorganic	75863	ok
64763	08/10/2021 15:00:59	1	76	906261	1	392	904778	909643	1	393	906898	913292	1	394	911137	2	460	correct	913775	1	395	913258	far_06518.png	far_Giesskanne.png	inorganic	75863	ok
64763	08/10/2021 15:01:09	1	77	918540	1	397	917497	921122	1	398	919618	925088	1	400	923857	2	814	correct	925937	1	400	923857	faw_14685.png	faw_Kuechenmaschine.png	inorganic	75863	ok
64763	08/10/2021 15:01:18	1	78	928670	1	402	928098	930902	1	403	930218	934101	1	404	932337	3	433	correct	934568	1	405	934457	foq_17341.png	foq_Fenchel.png	organic	75863	ok
64763	08/10/2021 15:01:29	1	79	937600	1	406	936578	939833	1	407	938698	944631	1	409	942937	2	294	correct	944948	1	409	942937	mao_19000.png	mao_Kegel.png	inorganic	75863	ok
64763	08/10/2021 15:01:38	1	80	948513	1	411	947177	950479	1	412	949297	954211	1	414	953538	3	280	correct	954528	1	414	953538	mou_06524.png	mou_Croissant.png	organic	75863	ok
64763	08/10/2021 15:01:49	1	81	957843	1	416	957777	960409	1	417	959898	964758	1	419	964137	3	347	correct	965141	1	419	964137	fov_15193.png	fov_Fisch.png	organic	75863	ok
64763	08/10/2021 15:02:00	1	82	968823	1	421	968378	971489	1	422	970497	975204	1	424	974737	3	266	correct	975504	1	424	974737	moj_11860.png	moj_Walnuss.png	organic	75863	ok
64763	08/10/2021 15:02:12	1	83	980419	1	426	978977	983635	1	428	983217	987783	1	430	987457	3	543	correct	988350	1	430	987457	mon_69587.png	mon_Kartoffel.png	organic	75863	ok
64763	08/10/2021 15:02:23	1	84	992415	1	432	991697	994747	1	433	993817	999179	1	435	998057	3	460	correct	999662	1	435	998057	foe_08514.png	foe_Tannenzapfen.png	organic	75863	ok
64763	08/10/2021 15:02:35	1	85	1002728	1	437	1002297	1005127	1	438	1004417	1009376	1	440	1008657	3	372	correct	1009776	1	440	1008657	mob_22833.png	mob_Kiwi.png	organic	75863	ok
64763	08/10/2021 15:02:47	1	86	1014691	1	442	1012897	1017523	1	444	1017137	1022138	1	446	1021377	2	466	correct	1022638	1	446	1021377	fab_06286.png	fab_Kinderwagen.png	inorganic	75863	ok
64763	08/10/2021 15:02:58	1	87	1027070	1	448	1025617	1030252	1	450	1029857	1033634	1	451	1031977	3	828	correct	1034484	1	452	1034097	mof_06901.png	mof_Spaghetti.png	organic	75863	ok
64763	08/10/2021 15:03:08	1	88	1037500	1	453	1036217	1039499	1	454	1038336	1042648	1	456	1042577	2	452	correct	1043131	1	456	1042577	maj_01546.png	maj_Computermaus.png	inorganic	75863	ok
64763	08/10/2021 15:03:17	1	89	1047730	1	458	1046816	1049712	1	459	1048937	1053061	1	460	1051057	3	572	correct	1053678	1	461	1053176	fok_09860.png	fok_Kaenguruh.png	organic	75863	ok
64763	08/10/2021 15:03:28	1	90	1056777	1	462	1055296	1060159	1	464	1059537	1063458	1	465	1061656	3	420	correct	1063907	1	466	1063776	fop_07937.png	fop_Mango.png	organic	75863	ok
