ID	DateTime	Run	Encoding_Trial	FaceBase_OnsetTime	FaceBase_OnsetTimeUncertainty	FaceBase_fMRI_Pulse	FaceBase_fMRI_PulseTime	Assoc_Encoding_OnsetTime	Assoc_Encoding_OnsetTimeUncertainty	Assoc_Encoding_fMRI_Pulse	Assoc_Encoding_fMRI_PulseTime	Immediate_Recall_OnsetTime	Immediate_Recall_OnsetTimeUncertainty	Immediate_Recall_fMRI_Pulse	Immediate_Recall_fMRI_PulseTime	Immediate_Recall_Pressed_Button	Immediate_Recall_RT	Immediate_Recall_Accuracy	Immediate_Recall_Feedback_OnsetTime	Immediate_Recall_Feedback_OnsetTimeUncertainty	Immediate_Recall_Feedback_fMRI_Pulse	Immediate_Recall_Feedback_fMRI_PulseTime	Presented_Person	Presented_Object	Object_Category	First_pulse_time	TrialStatus
63158	08/24/2021 15:51:38	1	1	55097	1	6	53914	57297	1	7	56037	60512	1	9	60276	3	1115	incorrect	61662	1	9	60276	fap_16329.png	fap_Kissen.png	inorganic	43316	ok
63158	08/24/2021 15:51:49	1	2	65377	1	11	64517	67460	1	12	66636	71409	1	14	70877	2	869	correct	72308	1	14	70877	fan_17286.png	fan_Klavier.png	inorganic	43316	ok
63158	08/24/2021 15:52:00	1	3	75924	1	16	75116	78223	1	17	77236	83171	1	19	81476	2	361	correct	83555	1	19	81476	mak_00987.png	mak_Socken.png	inorganic	43316	ok
63158	08/24/2021 15:52:11	1	4	86837	1	21	85716	89852	1	22	87837	93651	1	24	92076	3	766	correct	94451	1	25	94196	foe_08236.png	foe_Tannenzapfen.png	organic	43316	ok
63158	08/24/2021 15:52:20	1	5	98016	1	26	96316	99832	1	27	98436	103131	1	29	102676	3	583	correct	103748	1	29	102676	for_15187.png	for_Seehund.png	organic	43316	ok
63158	08/24/2021 15:52:30	1	6	107013	1	31	106916	109712	1	32	109036	112945	1	33	111156	2	567	correct	113544	1	34	113276	fax_14883.png	fax_Fahrrad.png	inorganic	43316	ok
63158	08/24/2021 15:52:42	1	7	117243	1	35	115396	120209	1	37	119636	124241	1	39	123876	2	273	correct	124557	1	39	123876	maw_04767.png	maw_Pingpongschlaeger.png	inorganic	43316	ok
63158	08/24/2021 15:52:53	1	8	129172	1	41	128116	131738	1	42	130236	135770	1	44	134475	2	680	correct	136487	1	44	134475	mat_23275.png	mat_Feuerzeug.png	inorganic	43316	ok
63158	08/24/2021 15:53:05	1	9	139969	1	46	138716	142651	1	47	140836	147350	1	50	147196	2	370	correct	147749	1	50	147196	far_00736.png	far_Giesskanne.png	inorganic	43316	ok
63158	08/24/2021 15:53:17	1	10	151715	1	52	151436	155030	1	53	153556	158796	1	55	157795	3	264	correct	159096	1	55	157795	fok_09378.png	fok_Palme.png	organic	43316	ok
63158	08/24/2021 15:53:29	1	11	163961	1	57	162036	167359	1	59	166275	172041	1	61	170516	3	507	correct	172591	1	61	170516	mon_65798.png	mon_Fuchs.png	organic	43316	ok
63158	08/24/2021 15:53:40	1	12	176340	1	63	174755	178322	1	64	176876	182638	1	66	181115	2	1073	correct	183737	1	67	183235	mai_06530.png	mai_Auto.png	inorganic	43316	ok
63158	08/24/2021 15:53:52	1	13	187119	1	68	185356	190018	1	70	189595	194950	1	72	193836	2	708	correct	195683	1	72	193836	mae_01010.png	mae_Taschenrechner.png	inorganic	43316	ok
63158	08/24/2021 15:54:04	1	14	199332	1	74	198075	202481	1	76	202316	206596	1	78	206555	2	1697	incorrect	208329	1	78	206555	fop_00621.png	fop_Mango.png	organic	43316	ok
63158	08/24/2021 15:54:16	1	15	210961	1	80	210795	214044	1	81	212915	218709	1	83	217156	2	478	correct	219209	1	83	217156	fag_06539.png	fag_Geschenk.png	inorganic	43316	ok
63158	08/24/2021 15:54:26	1	16	222774	1	85	221395	225073	1	86	223515	228355	1	88	227755	2	933	correct	229322	1	88	227755	fai_07494.png	fai_Foehn.png	inorganic	43316	ok
63158	08/24/2021 15:54:36	1	17	232804	1	90	231996	235187	1	91	234115	239252	1	93	238355	2	497	correct	239785	1	93	238355	faj_07783.png	faj_Parfuem.png	inorganic	43316	ok
63158	08/24/2021 15:54:48	1	18	243417	1	95	242595	245716	1	96	244715	250415	1	98	248955	2	517	correct	250965	1	98	248955	map_41499.png	map_Pfeife.png	inorganic	43316	ok
63158	08/24/2021 15:54:58	1	19	254880	1	100	253195	257929	1	102	257435	261194	1	103	259555	3	1183	correct	262411	1	104	261675	foj_08220.png	foj_Waffel.png	organic	43316	ok
63158	08/24/2021 15:55:09	1	20	264543	1	105	263795	267059	1	106	265915	270441	1	108	270155	3	631	correct	271124	1	108	270155	moe_02012.png	moe_Waschbaer.png	organic	43316	ok
63158	08/24/2021 15:55:20	1	21	275756	1	110	274395	278455	1	111	276515	281921	1	113	280755	3	1152	correct	283104	1	114	282875	mot_69374.png	mot_Bison.png	organic	43316	ok
63158	08/24/2021 15:55:31	1	22	287236	1	116	287114	289401	1	117	289235	293783	1	119	293475	3	410	correct	294217	1	119	293475	foq_16799.png	foq_Fenchel.png	organic	43316	ok
63158	08/24/2021 15:55:42	1	23	298032	1	121	297715	301247	1	122	299835	304446	1	124	304074	2	678	correct	305146	1	124	304074	fac_02146.png	fac_Ohrring.png	inorganic	43316	ok
63158	08/24/2021 15:55:53	1	24	309145	1	126	308315	312060	1	127	310434	315593	1	129	314675	2	1762	correct	317392	1	130	316795	maj_01545.png	maj_Krawatte.png	inorganic	43316	ok
63158	08/24/2021 15:56:03	1	25	320258	1	131	318914	322024	1	132	321035	325922	1	134	325274	3	678	correct	326622	1	134	325274	mou_01862.png	mou_Kraehe.png	organic	43316	ok
63158	08/24/2021 15:56:13	1	26	329888	1	136	329515	331521	1	136	329515	334736	1	138	333754	3	1277	correct	336036	1	139	335874	mob_00760.png	mob_Kiwi.png	organic	43316	ok
63158	08/24/2021 15:56:24	1	27	339851	1	140	337995	342350	1	142	342234	346199	1	143	344354	2	936	correct	347165	1	144	346475	faw_14215.png	faw_Hufeisen.png	inorganic	43316	ok
63158	08/24/2021 15:56:36	1	28	350697	1	145	348594	353630	1	147	352835	358528	1	149	357074	3	769	correct	359328	1	150	359194	fov_15046.png	fov_Zucchini.png	organic	43316	ok
63158	08/24/2021 15:56:47	1	29	362927	1	151	361315	365792	1	153	365554	369224	1	154	367674	3	756	correct	370024	1	155	369795	moj_11821.png	moj_Blatt.png	organic	43316	ok
63158	08/24/2021 15:56:58	1	30	374439	1	157	374034	377088	1	158	376154	380621	1	160	380394	3	1817	correct	382470	1	160	380394	foa_00207.png	foa_Aubergine.png	organic	43316	ok
63158	08/24/2021 15:57:07	1	31	385219	1	162	384635	387302	1	163	386754	390617	1	164	388874	3	770	correct	391417	1	165	390994	fot_00797.png	fot_Taube.png	organic	43316	ok
63158	08/24/2021 15:57:20	1	32	394216	1	166	393115	397332	1	167	395234	401980	1	170	401594	3	1611	correct	403613	1	170	401594	foi_03389.png	foi_Pflanze.png	organic	43316	ok
63158	08/24/2021 15:57:29	1	33	406512	1	172	405834	408961	1	173	407954	412077	1	174	410074	3	1583	correct	413693	1	175	412194	mol_07679.png	mol_Pizza.png	organic	43316	ok
63158	08/24/2021 15:57:38	1	34	415759	1	176	414314	417391	1	177	416433	420574	1	178	418554	2	1600	correct	422223	1	179	420674	mal_04470.png	mal_Drucker.png	inorganic	43316	ok
63158	08/24/2021 15:57:46	1	35	424622	1	180	422794	426355	1	181	424914	429904	1	183	429154	2	990	correct	430920	1	183	429154	mas_41366.png	mas_Bueroklammer.png	inorganic	43316	ok
63158	08/24/2021 15:57:57	1	36	433469	1	185	433394	435519	1	185	433394	439967	1	188	439753	2	1052	correct	441050	1	188	439753	fat_12032.png	fat_Einkaufswagen.png	inorganic	43316	ok
63158	08/24/2021 15:58:07	1	37	444249	1	190	443994	446465	1	191	446114	449997	1	192	448233	3	855	correct	450880	1	193	450354	mof_02408.png	mof_Hahn.png	organic	43316	ok
63158	08/24/2021 15:58:17	1	38	454079	1	194	452474	455995	1	195	454594	459944	1	197	458834	2	1023	correct	460993	1	198	460954	fal_07906.png	fal_Korb.png	inorganic	43316	ok
63158	08/24/2021 15:58:30	1	39	463892	1	199	463073	467175	1	200	465193	471706	1	203	471553	2	665	correct	472406	1	203	471553	mau_49693.png	mau_Wasserventil.png	inorganic	43316	ok
63158	08/24/2021 15:58:39	1	40	476688	1	205	475794	478821	1	206	477913	482653	1	208	482154	3	1120	correct	483802	1	208	482154	fou_17118.png	fou_Feige.png	organic	43316	ok
63158	08/24/2021 15:58:51	1	41	486451	1	210	486393	489151	1	211	488513	493932	1	213	492753	3	348	correct	494315	1	213	492753	mom_59361.png	mom_Loewe.png	organic	43316	ok
63158	08/24/2021 15:59:01	1	42	497598	1	215	496993	499597	1	216	499114	502696	1	217	501233	2	1294	correct	504012	1	218	503353	fab_06018.png	fab_Kinderwagen.png	inorganic	43316	ok
63158	08/24/2021 15:59:12	1	43	507861	1	220	507594	510510	1	221	509713	513826	1	222	511833	2	1326	correct	515175	1	223	513954	mac_59169.png	mac_Dartpfeil.png	inorganic	43316	ok
63158	08/24/2021 15:59:22	1	44	518940	1	225	518193	522523	1	227	522434	525788	1	228	524553	3	792	correct	526605	1	228	524553	moh_06446.png	moh_Muecke.png	organic	43316	ok
63158	08/24/2021 15:59:34	1	45	529220	1	230	528793	532669	1	231	530914	536551	1	233	535153	3	1899	correct	538484	1	234	537273	mog_03090.png	mog_Pilz.png	organic	43316	ok
63158	08/24/2021 15:59:44	1	46	541200	1	235	539393	543732	1	237	543633	547198	1	238	545754	2	1291	correct	548514	1	239	547873	mao_11634.png	mao_Stempel.png	inorganic	43316	ok
63158	08/24/2021 15:59:57	1	47	551080	1	240	549993	554395	1	242	554233	558910	1	244	558473	3	913	correct	559860	1	244	558473	foc_02157.png	foc_Eule.png	organic	43316	ok
63158	08/24/2021 16:00:10	1	48	564242	1	246	562713	567691	1	248	566953	571339	1	250	571193	3	1155	correct	572522	1	250	571193	mos_20953.png	mos_Traube.png	organic	43316	ok
63158	08/24/2021 16:00:21	1	49	576671	1	252	575433	578620	1	253	577553	583285	1	255	581793	2	484	correct	583802	1	255	581793	fap_17119.png	fap_Knopf.png	inorganic	43316	ok
63158	08/24/2021 16:00:32	1	50	587651	1	257	586032	589700	1	258	588153	593798	1	260	592392	2	459	correct	594282	1	260	592392	fan_18894.png	fan_Lampe.png	inorganic	43316	ok
63158	08/24/2021 16:00:44	1	51	598813	1	263	598753	601912	1	264	600872	606477	1	266	605113	2	273	correct	606777	1	266	605113	mak_03979.png	mak_Rucksack.png	inorganic	43316	ok
