ID	DateTime	Run	Retrieval_Trial	FaceRecog_OnsetTime	FaceRecog_OnsetTimeUncertainty	FaceRecog_fMRI_Pulse	FaceRecog_fMRI_PulseTime	Assoc_Retrieval_OnsetTime	Assoc_Retrieval_OnsetTimeUncertainty	Assoc_Retrieval_fMRI_Pulse	Assoc_Retrieval_fMRI_PulseTime	Assoc_Retrieval_Pressed_Button	Assoc_Retrieval_RT	Assoc_Retrieval_Response_Category	Assoc_Retrieval_Accuracy	Assoc_Retrieval_Feedback_OnsetTime	Assoc_Retrieval_Feedback_OnsetTimeUncertainty	Assoc_Retrieval_Feedback_fMRI_Pulse	Assoc_Retrieval_Feedback_fMRI_PulseTime	Retrieval_consc_Rating_OnsetTime	Retrieval_consc_Rating_OnsetTimeUncertainty	Retrieval_consc_Rating_fMRI_Pulse	Retrieval_consc_Rating_fMRI_PulseTime	Retrieval_consc_Rating_Pressed_Button	Retrieval_consc_Rating_RT	Retrieval_consc_Rating_Feedback_OnsetTime	Retrieval_consc_Rating_Feedback_OnsetTimeUncertainty	Retrieval_consc_Rating_Feedback_fMRI_Pulse	Retrieval_consc_Rating_Feedback_fMRI_PulseTime	Presented_Person	Presented_Target	Presented_Lure	num_pulse	fifth_pulse_time	TrialStatus
68576	09/14/2021 15:16:12	1	1	1763552	1	524	1762680	1766701	1	525	1765380	2	1509	organic	incorrect	1768234	1	526	1768080	1770034	1	526	1768080	2	1327	1771383	1	527	1770780	mot_69374.png	mot_Bison.png	mot_Hotdog.png	524	1762680	ok
68576	09/14/2021 15:16:23	1	2	1773566	1	528	1773480	1775548	1	528	1773480	2	1909	organic	incorrect	1777498	1	529	1776179	1780313	1	530	1778880	2	797	1781146	1	530	1778880	moj_11821.png	moj_Walnuss.png	moj_Blatt.png	524	1762680	ok
68576	09/14/2021 15:16:33	1	3	1784795	1	532	1784279	1786478	1	532	1784279	2	1520	inorganic	correct	1788027	1	533	1786980	1790677	1	534	1789680	4	713	1791426	1	534	1789680	faj_07783.png	faj_Parfuem.png	faj_Schuh.png	524	1762680	ok
68576	09/14/2021 15:16:45	1	4	1794542	1	535	1792379	1797941	1	537	1797780	2	1115	inorganic	correct	1799090	1	537	1797780	1802939	1	538	1800479	4	682	1803656	1	539	1803180	mac_59169.png	mac_Medaille.png	mac_Dartpfeil.png	524	1762680	ok
68576	09/14/2021 15:16:56	1	5	1806704	1	540	1805880	1809337	1	541	1808579	3	1352	organic	correct	1810720	1	541	1808579	1813102	1	542	1811280	3	1100	1814235	1	543	1813979	fop_00621.png	fop_Koala.png	fop_Mango.png	524	1762680	ok
68576	09/14/2021 15:17:08	1	6	1817784	1	544	1816679	1820916	1	545	1819380	2	984	inorganic	correct	1821933	1	545	1819380	1825581	1	547	1824779	3	562	1826198	1	547	1824779	mae_01010.png	mae_Schach.png	mae_Taschenrechner.png	524	1762680	ok
68576	09/14/2021 15:17:19	1	7	1829064	1	548	1827480	1831929	1	549	1830179	2	1539	organic	incorrect	1833495	1	550	1832879	1836444	1	551	1835580	3	458	1836928	1	551	1835580	mon_65798.png	mon_Kartoffel.png	mon_Fuchs.png	524	1762680	ok
68576	09/14/2021 15:17:28	1	8	1840493	1	552	1838279	1842426	1	553	1840979	3	760	organic	correct	1843209	1	553	1840979	1845875	1	554	1843680	4	895	1846808	1	555	1846379	mou_01862.png	mou_Croissant.png	mou_Kraehe.png	524	1762680	ok
68576	09/14/2021 15:17:38	1	9	1849773	1	556	1849079	1852556	1	557	1851780	2	977	organic	incorrect	1853555	1	557	1851780	1856121	1	558	1854479	2	336	1856488	1	558	1854479	foa_00207.png	foa_Aubergine.png	foa_Marienkaefer.png	524	1762680	ok
68576	09/14/2021 15:17:49	1	10	1859753	1	559	1857180	1861619	1	560	1859879	3	1467	organic	correct	1863119	1	561	1862579	1865468	1	562	1865279	4	398	1865901	1	562	1865279	fok_09378.png	fok_Palme.png	fok_Kaenguruh.png	524	1762680	ok
68576	09/14/2021 15:18:00	1	11	1870733	1	564	1870679	1873115	1	564	1870679	3	1218	organic	correct	1874382	1	565	1873379	1877764	1	566	1876079	2	301	1878097	1	566	1876079	mob_00760.png	mob_Kiwi.png	mob_Igel.png	524	1762680	ok
68576	09/14/2021 15:18:12	1	12	1881129	1	567	1878779	1884062	1	568	1881480	3	2213	organic	correct	1886311	1	569	1884179	1889377	1	570	1886879	2	323	1889726	1	571	1889580	mol_07679.png	mol_Pizza.png	mol_Schimpanse.png	524	1762680	ok
68576	09/14/2021 15:18:24	1	13	1893458	1	572	1892279	1895741	1	573	1894979	2	877	inorganic	correct	1896641	1	573	1894979	1900656	1	575	1900379	4	598	1901289	1	575	1900379	maj_01545.png	maj_Computermaus.png	maj_Krawatte.png	524	1762680	ok
68576	09/14/2021 15:18:36	1	14	1905304	1	576	1903079	1908803	1	578	1908479	3	1275	organic	correct	1910103	1	578	1908479	1912352	1	579	1911179	2	1267	1913652	1	579	1911179	fot_00797.png	fot_Taube.png	fot_Salat.png	524	1762680	ok
68576	09/14/2021 15:18:49	1	15	1917350	1	581	1916579	1919666	1	582	1919279	3	911	organic	correct	1920599	1	582	1919279	1924898	1	584	1924679	4	527	1925464	1	584	1924679	foi_03389.png	foi_Apfelkuchen.png	foi_Pflanze.png	524	1762680	ok
68576	09/14/2021 15:19:00	1	16	1930046	1	585	1927379	1932912	1	587	1932779	2	1161	inorganic	correct	1934095	1	587	1932779	1937843	1	588	1935479	2	762	1938643	1	589	1938179	fab_06018.png	fab_Staubsauger.png	fab_Kinderwagen.png	524	1762680	ok
68576	09/14/2021 15:19:11	1	17	1941609	1	590	1940879	1944491	1	591	1943578	2	1500	organic	incorrect	1946024	1	591	1943578	1948556	1	592	1946279	3	256	1948840	1	592	1946279	moe_02012.png	moe_Waschbaer.png	moe_Pommes.png	524	1762680	ok
68576	09/14/2021 15:19:20	1	18	1952155	1	594	1951678	1954138	1	594	1951678	2	1278	inorganic	correct	1955437	1	595	1954379	1957953	1	596	1957079	4	522	1958503	1	596	1957079	mat_23275.png	mat_Feuerzeug.png	mat_Helm.png	524	1762680	ok
68576	09/14/2021 15:19:31	1	19	1961602	1	597	1959778	1963285	1	598	1962479	3	1609	organic	correct	1964918	1	598	1962479	1967867	1	599	1965179	4	644	1968533	1	600	1967878	mom_59361.png	mom_Loewe.png	mom_Ei.png	524	1762680	ok
68576	09/14/2021 15:19:41	1	20	1971965	1	601	1970579	1974048	1	602	1973279	3	1762	inorganic	incorrect	1975864	1	602	1973279	1977663	1	603	1975978	3	338	1978030	1	603	1975978	far_00736.png	far_Heissluftballon.png	far_Giesskanne.png	524	1762680	ok
68576	09/14/2021 15:19:52	1	21	1982528	1	605	1981379	1984144	1	606	1984078	3	2169	inorganic	incorrect	1986344	1	606	1984078	1989293	1	607	1986779	3	321	1989643	1	608	1989478	fal_07906.png	fal_Korb.png	fal_Buegeleisen.png	524	1762680	ok
68576	09/14/2021 15:20:02	1	22	1993758	1	609	1992178	1995757	1	610	1994879	2	1667	inorganic	correct	1997457	1	610	1994879	1999672	1	611	1997578	3	2026	2001722	1	612	2000278	faw_14215.png	faw_Kuechenmaschine.png	faw_Hufeisen.png	524	1762680	ok
68576	09/14/2021 15:20:13	1	23	2003471	1	613	2002979	2006087	1	614	2005678	2	2498	organic	incorrect	2008619	1	615	2008378	2010502	1	615	2008378	2	765	2011302	1	616	2011079	foe_08236.png	foe_Adler.png	foe_Tannenzapfen.png	524	1762680	ok
68576	09/14/2021 15:20:24	1	24	2014801	1	617	2013779	2016783	1	618	2016478	3	2109	inorganic	incorrect	2018916	1	618	2016478	2021698	6	619	2019179	2	665	2022415	1	620	2021878	fag_06539.png	fag_Geschenk.png	fag_Portemonnaie.png	524	1762680	ok
68576	09/14/2021 15:20:33	1	25	2025614	1	621	2024578	2027430	1	622	2027278	3	645	inorganic	incorrect	2028096	1	622	2027278	2030779	1	623	2029978	4	605	2031412	1	623	2029978	mas_41366.png	mas_Bueroklammer.png	mas_Tisch.png	524	1762680	ok
68576	09/14/2021 15:20:45	1	26	2034794	1	624	2032678	2037826	1	625	2035378	3	1470	organic	correct	2039326	1	626	2038078	2041708	1	627	2040778	3	1850	2043591	1	628	2043478	foq_16799.png	foq_Fenchel.png	foq_Pinguin.png	524	1762680	ok
68576	09/14/2021 15:20:57	1	27	2046640	1	629	2046178	2049456	1	630	2048878	3	833	organic	correct	2050322	1	630	2048878	2053754	1	631	2051578	4	281	2054071	1	631	2051578	mos_20953.png	mos_Eintagsfliege.png	mos_Traube.png	524	1762680	ok
68576	09/14/2021 15:21:08	1	28	2058736	1	633	2056978	2060768	1	634	2059678	3	1642	inorganic	incorrect	2062435	1	635	2062378	2064984	1	635	2062378	3	264	2065284	1	636	2065078	fai_07494.png	fai_Foehn.png	fai_Kommode.png	524	1762680	ok
68576	09/14/2021 15:21:19	1	29	2069532	1	637	2067778	2071598	1	638	2070478	2	950	organic	incorrect	2072598	1	638	2070478	2076447	1	640	2075878	2	974	2077446	1	640	2075878	moh_06446.png	moh_Muecke.png	moh_Birne.png	524	1762680	ok
68576	09/14/2021 15:21:32	1	30	2079879	1	641	2078578	2082728	1	642	2081277	2	1202	inorganic	correct	2083961	1	642	2081277	2087843	1	644	2086678	3	1449	2089325	1	644	2086678	fat_12032.png	fat_Einkaufswagen.png	fat_Kleiderbuegel.png	524	1762680	ok
68576	09/14/2021 15:21:44	1	31	2092891	1	646	2092078	2094690	1	646	2092078	2	2259	inorganic	correct	2096973	1	647	2094778	2099805	1	648	2097477	2	245	2100088	1	648	2097477	map_41499.png	map_Pfeife.png	map_Globus.png	524	1762680	ok
68576	09/14/2021 15:21:55	1	32	2104954	1	650	2102878	2107986	1	651	2105577	3	1213	organic	correct	2109235	1	652	2108278	2112168	1	653	2110978	2	1952	2114150	1	654	2113677	foc_02157.png	foc_Brombeere.png	foc_Eule.png	524	1762680	ok
68576	09/14/2021 15:22:06	1	33	2115883	1	654	2113677	2118549	1	655	2116378	2	1039	inorganic	correct	2119632	1	656	2119077	2123431	1	657	2121777	3	271	2123747	1	657	2121777	mal_04470.png	mal_Kugelschreiber.png	mal_Drucker.png	524	1762680	ok
68576	09/14/2021 15:22:15	1	34	2127513	1	659	2127177	2129262	1	659	2127177	3	2140	organic	correct	2131428	1	660	2129877	2133061	1	661	2132578	2	826	2133910	1	661	2132578	for_15187.png	for_Seehund.png	for_Mandel.png	524	1762680	ok
68576	09/14/2021 15:22:28	1	35	2136859	1	662	2135277	2139808	1	663	2137977	3	506	organic	correct	2140342	1	663	2137977	2144540	1	665	2143377	3	961	2145540	1	665	2143377	mog_03090.png	mog_Fledermaus.png	mog_Pilz.png	524	1762680	ok
68576	09/14/2021 15:22:39	1	36	2149588	1	667	2148778	2151821	1	668	2151477	3	2148	inorganic	incorrect	2154004	1	668	2151477	2155270	1	669	2154177	3	1827	2157119	1	670	2156878	mak_00987.png	mak_Rucksack.png	mak_Socken.png	524	1762680	ok
68576	09/14/2021 15:22:49	1	37	2160035	1	671	2159577	2163150	1	672	2162277	3	2291	organic	correct	2165466	1	673	2164977	2167082	1	673	2164977	2	957	2168065	1	674	2167677	foj_08220.png	foj_Waffel.png	foj_Rose.png	524	1762680	ok
68576	09/14/2021 15:23:02	1	38	2170648	1	675	2170377	2174097	1	676	2173077	2	2033	organic	incorrect	2176163	1	677	2175777	2178812	1	678	2178477	2	278	2179112	1	678	2178477	fov_15046.png	fov_Zucchini.png	fov_Fisch.png	524	1762680	ok
68576	09/14/2021 15:23:14	1	39	2183160	1	679	2181177	2186626	1	681	2186577	3	1894	organic	correct	2188542	1	681	2186577	2190758	1	682	2189277	3	911	2191691	1	682	2189277	fou_17118.png	fou_Feige.png	fou_Schmetterling.png	524	1762680	ok
68576	09/14/2021 15:23:25	1	40	2194873	1	684	2194677	2198439	1	685	2197377	2	1614	inorganic	correct	2200088	1	685	2197377	2202054	1	686	2200077	2	894	2202970	1	687	2202777	mai_06530.png	mai_Gewehr.png	mai_Auto.png	524	1762680	ok
68576	09/14/2021 15:23:36	1	41	2205969	1	688	2205477	2207952	1	688	2205477	3	1345	inorganic	incorrect	2209318	1	689	2208177	2212934	1	690	2210877	3	330	2213300	1	690	2210877	mau_49693.png	mau_Wasserventil.png	mau_Leiter.png	524	1762680	ok
68576	09/14/2021 15:23:47	1	42	2217699	1	692	2216277	2219415	1	693	2218977	3	1371	inorganic	incorrect	2220831	1	693	2218977	2224163	1	694	2221677	3	319	2224513	1	695	2224377	maw_04767.png	maw_Schlauchboot.png	maw_Pingpongschlaeger.png	524	1762680	ok
68576	09/14/2021 15:23:58	1	43	2228395	1	696	2227077	2231094	1	697	2229777	3	987	organic	correct	2232110	1	697	2229777	2235309	1	699	2235177	4	944	2236276	1	699	2235177	mof_02408.png	mof_Spaghetti.png	mof_Hahn.png	524	1762680	ok
68576	09/14/2021 15:24:09	1	44	2239408	1	700	2237877	2241857	1	701	2240577	3	1635	inorganic	incorrect	2243523	1	702	2243277	2247139	1	703	2245977	2	565	2247739	1	703	2245977	fap_16329.png	fap_Kissen.png	fap_Knopf.png	524	1762680	ok
68576	09/14/2021 15:24:21	1	45	2250654	1	704	2248676	2253087	1	705	2251377	3	1170	inorganic	incorrect	2254286	1	706	2254077	2257768	1	707	2256776	2	258	2258052	1	707	2256776	fax_14883.png	fax_Klebeband.png	fax_Fahrrad.png	524	1762680	ok
68576	09/14/2021 15:24:32	1	46	2262017	1	708	2259477	2264083	1	709	2262177	2	2175	inorganic	correct	2266282	1	710	2264876	2268798	1	711	2267577	2	1155	2269998	1	711	2267577	fan_17286.png	fan_Klavier.png	fan_Lampe.png	524	1762680	ok
