ID	DateTime	Run	Delayed_Retrieval_Trial	First_Pulse_Time	FaceRecog_OnsetTime	FaceRecog_OnsetTimeUncertainty	FaceRecog_fMRI_Pulse	FaceRecog_fMRI_PulseTime	Assoc_Retrieval_OnsetTime	Assoc_Retrieval_OnsetTimeUncertainty	Assoc_Retrieval_fMRI_Pulse	Assoc_Retrieval_fMRI_PulseTime	Assoc_Retrieval_Pressed_Button	Assoc_Retrieval_RT	Assoc_Retrieval_Response_Category	Assoc_Retrieval_Accuracy	Assoc_Retrieval_Feedback_OnsetTime	Assoc_Retrieval_Feedback_OnsetTimeUncertainty	Assoc_Retrieval_Feedback_fMRI_Pulse	Assoc_Retrieval_Feedback_fMRI_PulseTime	Retrieval_consc_Rating_OnsetTime	Retrieval_consc_Rating_OnsetTimeUncertainty	Retrieval_consc_Rating_fMRI_Pulse	Retrieval_consc_Rating_fMRI_PulseTime	Retrieval_consc_Rating_Pressed_Button	Retrieval_consc_Rating_RT	Retrieval_consc_Rating_Feedback_OnsetTime	Retrieval_consc_Rating_Feedback_OnsetTimeUncertainty	Retrieval_consc_Rating_Feedback_fMRI_Pulse	Retrieval_consc_Rating_Feedback_fMRI_PulseTime	ForcedChoice_OnsetTime	ForcedChoice_OnsetTimeUncertainty	ForcedChoice_fMRI_Pulse	ForcedChoice_fMRI_PulseTime	ForcedChoice_Pressed_Button	ForcedChoice_RT	ForcedChoice_Response_Category	ForcedChoice_Accuracy	ForcedChoice_Feedback_OnsetTime	ForcedChoice_Feedback_OnsetTimeUncertainty	ForcedChoice_Feedback_fMRI_Pulse	ForcedChoice_Feedback_fMRI_PulseTime	Recognition_consc_Rating_OnsetTime	Recognition_consc_Rating_OnsetTimeUncertainty	Recognition_consc_Rating_fMRI_Pulse	Recognition_consc_Rating_fMRI_PulseTime	Recognition_consc_Rating_Pressed_Button	Recognition_consc_Rating_RT	Recognition_consc_Rating_Feedback_OnsetTime	Recognition_consc_Rating_Feedback_OnsetTimeUncertainty	Recognition_consc_Rating_Feedback_fMRI_Pulse	Recognition_consc_Rating_Feedback_fMRI_PulseTime	Presented_Person	Presented_Target	Presented_Lure	TrialStatus
66376	06/30/2021 14:22:19	1	1	30413	43218	1	5	41213	45151	1	6	43913	2	1578	organic	incorrect	46750	1	7	46613	48783	1	7	46613	0	0	48783	1	8	49313	53132	1	9	52013	3	2288	organic	correct	55447	1	10	54713	56914	1	10	54713	4	1390	58330	1	11	57413	mom_59361.png	mom_Loewe.png	mom_Ei.png	ok
66376	06/30/2021 14:22:41	1	2	30413	60946	1	12	60113	63878	1	13	62813	2	1563	organic	incorrect	65477	1	13	62813	67393	1	14	65513	2	1989	69409	1	15	68213	72159	1	16	70913	2	1966	organic	correct	74175	1	17	73613	77723	1	18	76313	4	997	78773	1	18	76313	moj_11821.png	moj_Blatt.png	moj_Walnuss.png	ok
66376	06/30/2021 14:23:01	1	3	30413	82972	1	20	81712	84721	1	21	84413	2	1830	organic	incorrect	86587	1	21	84413	89619	1	22	87113	2	1952	91602	1	23	89812	94701	1	24	92513	3	1808	organic	correct	96534	1	25	95213	99633	1	26	97913	3	1606	101265	1	27	100613	foj_08220.png	foj_Rose.png	foj_Waffel.png	ok
66376	06/30/2021 14:23:21	1	4	30413	103448	1	28	103313	105464	1	28	103313	3	951	organic	correct	106447	1	29	106012	110212	1	30	108713	2	1339	111579	1	31	111413	114811	1	32	114112	3	1837	organic	incorrect	116677	1	32	114112	119926	1	34	119513	4	903	120859	1	34	119513	foe_08236.png	foe_Tannenzapfen.png	foe_Adler.png	ok
66376	06/30/2021 14:23:40	1	5	30413	123425	1	35	122212	125324	1	36	124913	2	1099	inorganic	correct	126474	1	36	124913	130172	1	37	127612	3	1573	131772	1	38	130312	135271	1	39	133013	3	2663	inorganic	correct	137970	1	40	135712	139103	1	41	138412	3	1642	140769	1	41	138412	mak_00987.png	mak_Rucksack.png	mak_Socken.png	ok
66376	06/30/2021 14:23:59	1	6	30413	142668	1	42	141113	144867	1	43	143812	3	1815	organic	correct	146717	1	44	146512	149682	1	45	149213	3	1144	150849	1	45	149213	153198	1	46	151912	3	1928	organic	incorrect	155147	1	47	154612	156830	1	47	154612	3	1247	158113	1	48	157313	foa_00207.png	foa_Marienkaefer.png	foa_Aubergine.png	ok
66376	06/30/2021 14:24:20	1	7	30413	161212	1	49	160012	164494	1	50	162713	2	665	organic	incorrect	165194	1	50	162713	168409	1	52	168112	3	1201	169642	1	52	168112	173308	1	53	170813	2	1690	organic	correct	175041	1	54	173512	178706	1	55	176212	4	1338	180072	1	56	178913	moh_06446.png	moh_Muecke.png	moh_Birne.png	ok
66376	06/30/2021 14:24:42	1	8	30413	182888	1	57	181612	186170	1	58	184312	3	1164	organic	correct	187370	1	59	187013	190552	1	60	189712	3	1234	191818	1	60	189712	195200	1	62	195113	3	1649	organic	correct	196883	1	62	195113	198949	1	63	197812	4	693	199666	1	63	197812	mot_69374.png	mot_Bison.png	mot_Hotdog.png	ok
66376	06/30/2021 14:25:03	1	9	30413	204164	1	65	203213	207313	1	66	205912	2	1291	organic	incorrect	208629	1	66	205912	211895	1	68	211312	3	1574	213494	1	68	211312	216410	1	69	214012	2	1968	organic	correct	218409	1	70	216712	221841	1	71	219412	3	1451	223341	1	72	222112	mos_20953.png	mos_Traube.png	mos_Eintagsfliege.png	ok
66376	06/30/2021 14:25:23	1	10	30413	225274	1	73	224812	227290	1	73	224812	2	1540	organic	incorrect	228856	1	74	227512	231805	1	75	230212	2	1341	233171	1	76	232912	235887	1	77	235612	3	1757	organic	correct	237669	1	77	235612	241035	1	79	241012	3	1522	242584	1	79	241012	fop_00621.png	fop_Mango.png	fop_Koala.png	ok
66376	06/30/2021 14:25:44	1	11	30413	245300	1	80	243712	248199	1	81	246412	2	933	inorganic	correct	249166	1	82	249112	253381	1	83	251812	3	895	254314	1	83	251812	257096	1	84	254512	3	1642	inorganic	correct	258762	1	85	257212	261411	1	86	259912	3	1371	262811	1	87	262612	far_00736.png	far_Heissluftballon.png	far_Giesskanne.png	ok
66376	06/30/2021 14:26:03	1	12	30413	266660	1	88	265311	269792	1	89	268012	2	731	inorganic	correct	270575	1	89	268012	273341	1	90	270712	4	525	273907	1	91	273411	277923	1	92	276112	3	873	inorganic	correct	278822	1	92	276112	281721	1	94	281511	4	560	282304	1	94	281511	fac_02146.png	fac_Haarbuerste.png	fac_Ohrring.png	ok
66376	06/30/2021 14:26:25	1	13	30413	285220	1	95	284212	287703	1	96	286912	3	2000	inorganic	incorrect	289735	1	97	289611	292268	1	97	289611	2	970	293267	1	98	292312	296333	1	99	295012	3	2000	inorganic	correct	298366	1	100	297711	301765	1	101	300412	3	1156	302947	1	101	300412	mat_23275.png	mat_Helm.png	mat_Feuerzeug.png	ok
66376	06/30/2021 14:26:46	1	14	30413	307046	1	103	305811	309595	1	104	308512	2	1552	organic	incorrect	311178	1	104	308512	313794	1	105	311211	2	1253	315077	1	106	313911	318892	1	107	316612	2	1686	organic	correct	320625	1	108	319311	323607	1	109	322011	3	1130	324790	1	110	324712	mog_03090.png	mog_Pilz.png	mog_Fledermaus.png	ok
66376	06/30/2021 14:27:05	1	15	30413	328056	1	111	327411	330771	1	112	330111	2	967	inorganic	correct	331771	1	112	330111	334520	1	113	332812	2	1257	335803	1	114	335511	338735	1	115	338211	2	2546	inorganic	incorrect	341318	1	116	340912	342684	1	116	340912	2	898	343617	1	116	340912	mas_41366.png	mas_Tisch.png	mas_Bueroklammer.png	ok
