ID	DateTime	Run	Retrieval_Trial	FaceRecog_OnsetTime	FaceRecog_OnsetTimeUncertainty	FaceRecog_fMRI_Pulse	FaceRecog_fMRI_PulseTime	Assoc_Retrieval_OnsetTime	Assoc_Retrieval_OnsetTimeUncertainty	Assoc_Retrieval_fMRI_Pulse	Assoc_Retrieval_fMRI_PulseTime	Assoc_Retrieval_Pressed_Button	Assoc_Retrieval_RT	Assoc_Retrieval_Response_Category	Assoc_Retrieval_Accuracy	Assoc_Retrieval_Feedback_OnsetTime	Assoc_Retrieval_Feedback_OnsetTimeUncertainty	Assoc_Retrieval_Feedback_fMRI_Pulse	Assoc_Retrieval_Feedback_fMRI_PulseTime	Retrieval_consc_Rating_OnsetTime	Retrieval_consc_Rating_OnsetTimeUncertainty	Retrieval_consc_Rating_fMRI_Pulse	Retrieval_consc_Rating_fMRI_PulseTime	Retrieval_consc_Rating_Pressed_Button	Retrieval_consc_Rating_RT	Retrieval_consc_Rating_Feedback_OnsetTime	Retrieval_consc_Rating_Feedback_OnsetTimeUncertainty	Retrieval_consc_Rating_Feedback_fMRI_Pulse	Retrieval_consc_Rating_Feedback_fMRI_PulseTime	Presented_Person	Presented_Target	Presented_Lure	num_pulse	fifth_pulse_time	TrialStatus
62428	07/20/2021 16:17:53	1	1	1596577	1	523	1596232	1598410	1	523	1596232	0	0	organic	miss	1598410	1	524	1598931	1602142	1	525	1601632	2	1973	1604142	1	525	1601632	mof_02408.png	mof_Spaghetti.png	mof_Hahn.png	523	1596232	ok
62428	07/20/2021 16:18:05	1	2	1606757	1	526	1604332	1610106	1	528	1609732	2	547	inorganic	correct	1610689	1	528	1609732	1614471	1	529	1612432	4	449	1614955	1	529	1612432	mat_23275.png	mat_Feuerzeug.png	mat_Helm.png	523	1596232	ok
62428	07/20/2021 16:18:15	1	3	1619336	1	531	1617832	1621186	1	532	1620532	0	0	inorganic	miss	1621186	1	533	1623231	1625001	1	533	1623231	3	1621	1626651	1	534	1625932	far_00736.png	far_Heissluftballon.png	far_Giesskanne.png	523	1596232	ok
62428	07/20/2021 16:18:27	1	4	1629067	1	535	1628631	1630866	1	535	1628631	3	2304	organic	correct	1633198	1	536	1631331	1636014	1	537	1634032	3	331	1636381	1	537	1634032	moh_06446.png	moh_Muecke.png	moh_Birne.png	523	1596232	ok
62428	07/20/2021 16:18:39	1	5	1640563	1	539	1639431	1643812	1	540	1642132	2	1499	organic	incorrect	1645344	1	541	1644831	1648993	1	542	1647531	2	558	1649593	1	542	1647531	mot_69374.png	mot_Hotdog.png	mot_Bison.png	523	1596232	ok
62428	07/20/2021 16:18:51	1	6	1653508	1	544	1652931	1655608	1	544	1652931	3	2425	organic	correct	1658057	1	545	1655631	1660906	1	546	1658332	4	368	1661306	1	547	1661031	foa_00207.png	foa_Aubergine.png	foa_Marienkaefer.png	523	1596232	ok
62428	07/20/2021 16:19:02	1	7	1664538	1	548	1663731	1666804	1	549	1666432	3	963	inorganic	incorrect	1667803	1	549	1666432	1672085	1	551	1671831	3	1696	1673818	1	551	1671831	mas_41366.png	mas_Bueroklammer.png	mas_Tisch.png	523	1596232	ok
62428	07/20/2021 16:19:14	1	8	1676167	1	552	1674531	1679316	1	553	1677231	3	2640	organic	correct	1681982	1	554	1679931	1684081	1	555	1682631	2	325	1684431	1	555	1682631	fov_15046.png	fov_Zucchini.png	fov_Fisch.png	523	1596232	ok
62428	07/20/2021 16:19:24	1	9	1688347	1	557	1688031	1690013	1	557	1688031	0	0	inorganic	miss	1690013	1	558	1690731	1693695	1	559	1693431	2	582	1694311	1	559	1693431	mao_11634.png	mao_Stempel.png	mao_Kegel.png	523	1596232	ok
62428	07/20/2021 16:19:34	1	10	1697577	1	560	1696131	1700409	1	561	1698831	2	329	inorganic	correct	1700776	1	561	1698831	1704308	1	563	1704231	4	251	1704591	1	563	1704231	mau_49693.png	mau_Leiter.png	mau_Wasserventil.png	523	1596232	ok
62428	07/20/2021 16:19:43	1	11	1707657	1	564	1706931	1709756	1	565	1709631	2	1765	organic	incorrect	1711555	1	565	1709631	1713421	1	566	1712330	2	417	1713871	1	566	1712330	foc_02157.png	foc_Brombeere.png	foc_Eule.png	523	1596232	ok
62428	07/20/2021 16:19:55	1	12	1716970	1	567	1715031	1719853	1	568	1717731	2	293	inorganic	correct	1720169	1	568	1717731	1724601	1	570	1723131	4	407	1725034	1	570	1723131	faw_14215.png	faw_Kuechenmaschine.png	faw_Hufeisen.png	523	1596232	ok
