ID	DateTime	Run	Encoding_Trial	FaceBase_OnsetTime	FaceBase_OnsetTimeUncertainty	FaceBase_fMRI_Pulse	FaceBase_fMRI_PulseTime	Assoc_Encoding_OnsetTime	Assoc_Encoding_OnsetTimeUncertainty	Assoc_Encoding_fMRI_Pulse	Assoc_Encoding_fMRI_PulseTime	Immediate_Recall_OnsetTime	Immediate_Recall_OnsetTimeUncertainty	Immediate_Recall_fMRI_Pulse	Immediate_Recall_fMRI_PulseTime	Immediate_Recall_Pressed_Button	Immediate_Recall_RT	Immediate_Recall_Accuracy	Immediate_Recall_Feedback_OnsetTime	Immediate_Recall_Feedback_OnsetTimeUncertainty	Immediate_Recall_Feedback_fMRI_Pulse	Immediate_Recall_Feedback_fMRI_PulseTime	Presented_Person	Presented_Object	Object_Category	First_pulse_time	TrialStatus
67400	08/24/2021 14:35:11	1	1	207329	1	6	206813	208979	1	7	208937	212428	1	8	211056	3	1379	correct	213827	1	9	213176	mos_20953.png	mos_Traube.png	organic	196216	ok
67400	08/24/2021 14:35:21	1	2	217526	1	11	217417	219359	1	11	217417	222707	1	13	221656	3	1067	correct	223807	1	13	221656	foe_08236.png	foe_Tannenzapfen.png	organic	196216	ok
67400	08/24/2021 14:35:33	1	3	227106	1	15	225897	230072	1	16	228016	234703	1	19	234376	2	708	correct	235436	1	19	234376	faj_07783.png	faj_Schuh.png	inorganic	196216	ok
67400	08/24/2021 14:35:44	1	4	239618	1	21	238616	243134	1	23	242856	247266	1	25	247096	3	499	correct	247799	1	25	247096	fov_15046.png	fov_Fisch.png	organic	196216	ok
67400	08/24/2021 14:35:56	1	5	250781	1	26	249216	253947	1	28	253456	258662	1	30	257696	3	853	correct	259545	1	30	257696	foi_03389.png	foi_Apfelkuchen.png	organic	196216	ok
67400	08/24/2021 14:36:08	1	6	262061	1	32	261936	265426	1	33	264057	269858	1	35	268296	2	945	correct	270841	1	36	270416	fan_17286.png	fan_Klavier.png	inorganic	196216	ok
67400	08/24/2021 14:36:19	1	7	274023	1	37	272536	277006	1	39	276776	281421	1	41	281016	3	1449	correct	282920	1	41	281016	moe_02012.png	moe_Waschbaer.png	organic	196216	ok
67400	08/24/2021 14:36:31	1	8	285986	1	43	285256	288335	1	44	287375	292684	1	46	291616	3	674	correct	293383	1	46	291616	foj_08220.png	foj_Rose.png	organic	196216	ok
67400	08/24/2021 14:36:42	1	9	297482	1	48	295855	300115	1	49	297976	303880	1	51	302216	2	537	correct	304446	1	52	304336	mae_01010.png	mae_Schach.png	inorganic	196216	ok
67400	08/24/2021 14:36:53	1	10	308212	1	53	306456	310228	1	54	308576	314443	1	56	312816	2	523	correct	314993	1	57	314936	map_41499.png	map_Pfeife.png	inorganic	196216	ok
67400	08/24/2021 14:37:03	1	11	319191	1	58	317056	320791	1	59	319175	324040	1	61	323416	2	1393	correct	325456	1	61	323416	mak_00987.png	mak_Rucksack.png	inorganic	196216	ok
67400	08/24/2021 14:37:12	1	12	329321	1	63	327655	331037	1	64	329776	334969	1	66	334015	3	1496	correct	336502	1	67	336135	mom_59361.png	mom_Ei.png	organic	196216	ok
67400	08/24/2021 14:37:24	1	13	338851	1	68	338256	342267	1	69	340376	346815	1	72	346736	3	456	correct	347299	1	72	346736	for_15187.png	for_Seehund.png	organic	196216	ok
67400	08/24/2021 14:37:35	1	14	350697	1	73	348855	352947	1	74	350975	356995	1	76	355216	3	1154	correct	358178	1	77	357335	mon_65798.png	mon_Kartoffel.png	organic	196216	ok
67400	08/24/2021 14:37:47	1	15	361277	1	78	359455	363443	1	79	361576	368042	1	82	367935	3	333	correct	368408	1	82	367935	mot_69374.png	mot_Bison.png	organic	196216	ok
67400	08/24/2021 14:37:59	1	16	373373	1	84	372175	376439	1	85	374295	380970	1	88	380655	2	397	correct	381420	1	88	380655	fap_16329.png	fap_Knopf.png	inorganic	196216	ok
67400	08/24/2021 14:38:11	1	17	385286	1	90	384896	388368	1	91	387015	392233	1	93	391255	2	1356	correct	393616	1	94	393376	maj_01545.png	maj_Computermaus.png	inorganic	196216	ok
67400	08/24/2021 14:38:22	1	18	397315	1	95	395495	400481	1	97	399735	404896	1	99	403975	2	457	correct	405379	1	99	403975	fai_07494.png	fai_Foehn.png	inorganic	196216	ok
67400	08/24/2021 14:38:33	1	19	408345	1	101	408215	411827	1	102	410335	415342	1	104	414575	2	1545	correct	416925	1	105	416695	fax_14883.png	fax_Klebeband.png	inorganic	196216	ok
67400	08/24/2021 14:38:44	1	20	419607	1	106	418815	422390	1	107	420935	426705	1	109	425175	2	933	correct	427688	1	110	427295	maw_04767.png	maw_Schlauchboot.png	inorganic	196216	ok
67400	08/24/2021 14:38:54	1	21	430804	1	111	429415	433636	1	112	431535	436902	1	114	435775	2	827	correct	437751	1	114	435775	faw_14215.png	faw_Hufeisen.png	inorganic	196216	ok
67400	08/24/2021 14:39:06	1	22	440667	1	116	440014	443816	1	117	442135	447964	1	119	446375	3	1355	correct	449347	1	120	448494	moh_06446.png	moh_Muecke.png	organic	196216	ok
67400	08/24/2021 14:39:17	1	23	452113	1	121	450615	454562	1	122	452735	458994	1	124	456974	2	272	correct	459294	1	125	459095	fab_06018.png	fab_Kinderwagen.png	inorganic	196216	ok
67400	08/24/2021 14:39:27	1	24	463742	1	127	463334	465625	1	128	465455	468907	1	129	467575	3	1237	correct	470174	1	130	469695	mol_07679.png	mol_Pizza.png	organic	196216	ok
67400	08/24/2021 14:39:39	1	25	473089	1	131	471814	476055	1	132	473935	480570	1	135	480294	3	975	correct	481570	1	135	480294	mof_02408.png	mof_Spaghetti.png	organic	196216	ok
67400	08/24/2021 14:39:50	1	26	485602	1	137	484535	487218	1	138	486654	491350	1	140	490895	2	1078	correct	492449	1	140	490895	fat_12032.png	fat_Kleiderbuegel.png	inorganic	196216	ok
67400	08/24/2021 14:40:02	1	27	496631	1	142	495134	499180	1	143	497255	504162	1	146	503614	3	1967	correct	506161	1	147	505735	foc_02157.png	foc_Brombeere.png	organic	196216	ok
67400	08/24/2021 14:40:12	1	28	508594	1	148	507855	510910	1	149	509974	514209	1	150	512094	3	651	correct	514892	1	151	514215	moj_11821.png	moj_Blatt.png	organic	196216	ok
