ID	DateTime	Run	Delayed_Retrieval_Trial	First_Pulse_Time	FaceRecog_OnsetTime	FaceRecog_OnsetTimeUncertainty	FaceRecog_fMRI_Pulse	FaceRecog_fMRI_PulseTime	Assoc_Retrieval_OnsetTime	Assoc_Retrieval_OnsetTimeUncertainty	Assoc_Retrieval_fMRI_Pulse	Assoc_Retrieval_fMRI_PulseTime	Assoc_Retrieval_Pressed_Button	Assoc_Retrieval_RT	Assoc_Retrieval_Response_Category	Assoc_Retrieval_Accuracy	Assoc_Retrieval_Feedback_OnsetTime	Assoc_Retrieval_Feedback_OnsetTimeUncertainty	Assoc_Retrieval_Feedback_fMRI_Pulse	Assoc_Retrieval_Feedback_fMRI_PulseTime	Retrieval_consc_Rating_OnsetTime	Retrieval_consc_Rating_OnsetTimeUncertainty	Retrieval_consc_Rating_fMRI_Pulse	Retrieval_consc_Rating_fMRI_PulseTime	Retrieval_consc_Rating_Pressed_Button	Retrieval_consc_Rating_RT	Retrieval_consc_Rating_Feedback_OnsetTime	Retrieval_consc_Rating_Feedback_OnsetTimeUncertainty	Retrieval_consc_Rating_Feedback_fMRI_Pulse	Retrieval_consc_Rating_Feedback_fMRI_PulseTime	ForcedChoice_OnsetTime	ForcedChoice_OnsetTimeUncertainty	ForcedChoice_fMRI_Pulse	ForcedChoice_fMRI_PulseTime	ForcedChoice_Pressed_Button	ForcedChoice_RT	ForcedChoice_Response_Category	ForcedChoice_Accuracy	ForcedChoice_Feedback_OnsetTime	ForcedChoice_Feedback_OnsetTimeUncertainty	ForcedChoice_Feedback_fMRI_Pulse	ForcedChoice_Feedback_fMRI_PulseTime	Recognition_consc_Rating_OnsetTime	Recognition_consc_Rating_OnsetTimeUncertainty	Recognition_consc_Rating_fMRI_Pulse	Recognition_consc_Rating_fMRI_PulseTime	Recognition_consc_Rating_Pressed_Button	Recognition_consc_Rating_RT	Recognition_consc_Rating_Feedback_OnsetTime	Recognition_consc_Rating_Feedback_OnsetTimeUncertainty	Recognition_consc_Rating_Feedback_fMRI_Pulse	Recognition_consc_Rating_Feedback_fMRI_PulseTime	Presented_Person	Presented_Target	Presented_Lure	TrialStatus
62428	07/21/2021 16:09:39	1	1	45889	58630	1	5	56689	61762	1	6	59389	0	0	organic	miss	61762	1	7	62089	65877	1	8	64789	2	357	66260	1	8	64789	70842	1	10	70189	3	2212	organic	correct	73091	1	11	72888	76124	1	12	75589	4	882	77057	1	12	75589	moh_06446.png	moh_Muecke.png	moh_Birne.png	ok
62428	07/21/2021 16:10:01	1	2	45889	81439	1	14	80988	84954	1	15	83689	3	564	inorganic	incorrect	85554	1	15	83689	89253	1	17	89088	2	480	89769	1	17	89088	94168	1	18	91789	2	1207	inorganic	correct	95401	1	19	94489	98300	1	20	97188	3	1534	99866	1	20	97188	far_00736.png	far_Heissluftballon.png	far_Giesskanne.png	ok
62428	07/21/2021 16:10:21	1	3	45889	102998	1	22	102589	106097	1	23	105288	3	319	organic	correct	106447	1	23	105288	110912	1	25	110690	2	1181	112128	1	25	110690	115294	1	26	113388	2	2394	organic	correct	117710	1	27	116089	119293	1	28	118788	3	1736	121059	1	28	118788	mof_02408.png	mof_Spaghetti.png	mof_Hahn.png	ok
62428	07/21/2021 16:10:43	1	4	45889	123075	1	29	121488	125574	1	30	124189	2	237	inorganic	correct	125857	1	30	124189	130605	1	32	129588	4	279	130922	1	32	129588	135870	1	34	134988	2	642	inorganic	correct	136537	1	34	134988	139969	1	35	137688	4	356	140352	1	35	137688	mat_23275.png	mat_Feuerzeug.png	mat_Helm.png	ok
62428	07/21/2021 16:11:00	1	5	45889	145167	1	37	143088	146767	1	38	145788	2	1559	organic	incorrect	148349	1	38	145788	150665	1	39	148489	2	1255	151948	1	40	151188	154231	1	41	153888	2	2662	organic	correct	156913	1	42	156589	158729	1	42	156589	3	1707	160462	1	43	159288	foa_00207.png	foa_Aubergine.png	foa_Marienkaefer.png	ok
62428	07/21/2021 16:11:19	1	6	45889	162861	1	44	161988	165110	1	45	164688	2	289	inorganic	correct	165427	1	45	164688	169959	1	46	167388	4	798	170792	1	47	170088	173641	1	48	172788	3	1301	inorganic	correct	174990	1	48	172788	177506	1	49	175488	4	308	177839	1	49	175488	mas_41366.png	mas_Bueroklammer.png	mas_Tisch.png	ok
62428	07/21/2021 16:11:38	1	7	45889	181155	1	51	180888	184487	1	52	183588	2	397	organic	incorrect	184920	1	52	183588	188086	1	53	186289	2	878	189002	1	53	186289	192151	1	55	191688	3	2469	organic	correct	194650	1	56	194389	196650	1	56	194389	2	411	197083	1	56	194389	mot_69374.png	mot_Hotdog.png	mot_Bison.png	ok
62428	07/21/2021 16:11:59	1	8	45889	200865	1	58	199788	202714	1	59	202489	3	412	organic	correct	203148	1	59	202489	207613	1	60	205188	2	393	208029	1	61	207888	212378	1	62	210588	2	2675	organic	correct	215077	1	63	213288	217293	1	64	215988	2	903	218226	1	64	215988	fov_15046.png	fov_Zucchini.png	fov_Fisch.png	ok
62428	07/21/2021 16:12:21	1	9	45889	221225	1	65	218688	224740	1	67	224088	2	358	inorganic	correct	225140	1	67	224088	229955	1	69	229488	4	1086	231071	1	69	229488	234920	1	70	232188	3	2574	inorganic	correct	237519	1	71	234888	238869	1	72	237588	4	720	239619	1	72	237588	faw_14215.png	faw_Kuechenmaschine.png	faw_Hufeisen.png	ok
62428	07/21/2021 16:12:42	1	10	45889	243101	1	74	242988	246283	1	75	245688	2	370	inorganic	correct	246683	1	75	245688	250682	1	76	248388	4	374	251081	1	76	248388	255247	1	78	253789	3	858	inorganic	correct	256130	1	78	253789	260512	1	80	259188	4	993	261528	1	80	259188	mau_49693.png	mau_Leiter.png	mau_Wasserventil.png	ok
62428	07/21/2021 16:13:01	1	11	45889	264394	1	81	261888	267593	1	83	267288	3	1082	organic	correct	268709	1	83	267288	272757	1	85	272687	2	961	273757	1	85	272687	276290	1	86	275388	3	2338	organic	correct	278655	1	87	278088	280055	1	87	278088	0	0	280055	1	88	280787	foc_02157.png	foc_Brombeere.png	foc_Eule.png	ok
62428	07/21/2021 16:13:20	1	12	45889	283437	1	88	280787	286619	1	90	286188	2	506	inorganic	correct	287153	1	90	286188	290801	1	91	288887	2	861	291684	1	92	291589	294767	1	93	294287	3	1772	inorganic	correct	296566	1	93	294287	298365	1	94	296987	3	414	298815	1	94	296987	mao_11634.png	mao_Stempel.png	mao_Kegel.png	ok
62428	07/21/2021 16:13:41	1	13	45889	302297	1	95	299688	305363	1	97	305087	2	1163	organic	incorrect	306563	1	97	305087	310145	1	98	307789	2	345	310528	1	99	310488	314593	1	100	313187	2	1944	organic	correct	316559	1	101	315889	319092	1	102	318587	3	300	319425	1	102	318587	mob_00760.png	mob_Kiwi.png	mob_Igel.png	ok
62428	07/21/2021 16:14:03	1	14	45889	323657	1	103	321288	326156	1	104	323989	3	818	organic	correct	327006	1	105	326688	330921	1	106	329388	2	441	331388	1	106	329388	335520	1	108	334788	3	2357	organic	correct	337902	1	109	337488	340335	1	110	340189	2	1071	341434	1	110	340189	mol_07679.png	mol_Pizza.png	mol_Schimpanse.png	ok
62428	07/21/2021 16:14:23	1	15	45889	345066	1	111	342888	348515	1	113	348288	3	281	organic	correct	348832	1	113	348288	353264	1	114	350988	2	278	353580	1	114	350988	357695	1	116	356388	3	1800	organic	correct	359528	1	117	359088	361577	1	117	359088	3	1144	362744	1	118	361788	mog_03090.png	mog_Pilz.png	mog_Fledermaus.png	ok
62428	07/21/2021 16:14:42	1	16	45889	365243	1	119	364488	367509	1	120	367188	3	876	organic	correct	368408	1	120	367188	372590	1	121	369888	2	1017	373640	1	122	372588	376506	1	123	375288	3	2205	organic	incorrect	378738	1	124	377988	380188	1	124	377988	2	1126	381337	1	125	380688	moe_02012.png	moe_Waschbaer.png	moe_Pommes.png	ok
62428	07/21/2021 16:15:01	1	17	45889	384320	1	126	383388	387169	1	127	386088	2	1003	inorganic	correct	388202	1	127	386088	390718	1	128	388788	2	808	391551	1	129	391488	394200	1	129	391488	3	1620	inorganic	correct	395849	1	130	394187	397949	1	131	396888	3	1296	399281	1	131	396888	mae_01010.png	mae_Schach.png	mae_Taschenrechner.png	ok
62428	07/21/2021 16:15:20	1	18	45889	402914	1	133	402287	405779	1	134	404988	3	417	organic	correct	406229	1	134	404988	410544	1	136	410387	4	1144	411711	1	136	410387	414176	1	137	413088	3	973	organic	correct	415176	1	137	413088	418692	1	139	418487	4	764	419508	1	139	418487	foq_16799.png	foq_Fenchel.png	foq_Pinguin.png	ok
62428	07/21/2021 16:15:40	1	19	45889	422107	1	140	421188	423906	1	140	421188	2	1340	organic	incorrect	425273	1	141	423888	428288	1	142	426587	2	996	429321	1	142	426587	433220	1	144	431987	2	2444	organic	correct	435686	1	145	434687	437802	1	146	437388	3	648	438485	1	146	437388	for_15187.png	for_Mandel.png	for_Seehund.png	ok
