ID	DateTime	Run	Retrieval_Trial	FaceRecog_OnsetTime	FaceRecog_OnsetTimeUncertainty	FaceRecog_fMRI_Pulse	FaceRecog_fMRI_PulseTime	Assoc_Retrieval_OnsetTime	Assoc_Retrieval_OnsetTimeUncertainty	Assoc_Retrieval_fMRI_Pulse	Assoc_Retrieval_fMRI_PulseTime	Assoc_Retrieval_Pressed_Button	Assoc_Retrieval_RT	Assoc_Retrieval_Response_Category	Assoc_Retrieval_Accuracy	Assoc_Retrieval_Feedback_OnsetTime	Assoc_Retrieval_Feedback_OnsetTimeUncertainty	Assoc_Retrieval_Feedback_fMRI_Pulse	Assoc_Retrieval_Feedback_fMRI_PulseTime	Retrieval_consc_Rating_OnsetTime	Retrieval_consc_Rating_OnsetTimeUncertainty	Retrieval_consc_Rating_fMRI_Pulse	Retrieval_consc_Rating_fMRI_PulseTime	Retrieval_consc_Rating_Pressed_Button	Retrieval_consc_Rating_RT	Retrieval_consc_Rating_Feedback_OnsetTime	Retrieval_consc_Rating_Feedback_OnsetTimeUncertainty	Retrieval_consc_Rating_Feedback_fMRI_Pulse	Retrieval_consc_Rating_Feedback_fMRI_PulseTime	Presented_Person	Presented_Target	Presented_Lure	num_pulse	fifth_pulse_time	TrialStatus
65304	07/06/2021 16:25:58	1	1	1620904	1	524	1620390	1624069	1	525	1623090	2	2232	inorganic	correct	1626335	1	526	1625790	1628451	1	526	1625790	3	1407	1629884	1	527	1628490	mak_00987.png	mak_Socken.png	mak_Rucksack.png	524	1620390	ok
65304	07/06/2021 16:26:09	1	2	1632100	1	527	1628490	1634666	1	528	1633890	2	2540	organic	incorrect	1637232	1	529	1636590	1639814	1	530	1639289	2	1636	1641480	1	530	1639289	mon_65798.png	mon_Kartoffel.png	mon_Fuchs.png	524	1620390	ok
65304	07/06/2021 16:26:19	1	3	1643646	1	531	1641990	1645462	1	532	1644690	0	0	organic	miss	1645462	1	533	1647389	1648944	1	533	1647389	2	2309	1651277	1	534	1650090	foc_02157.png	foc_Brombeere.png	foc_Eule.png	524	1620390	ok
65304	07/06/2021 16:26:31	1	4	1652910	1	535	1652790	1655209	1	535	1652790	3	1490	organic	correct	1656725	1	536	1655489	1660157	1	537	1658190	3	963	1661157	1	538	1660890	foa_00207.png	foa_Aubergine.png	foa_Marienkaefer.png	524	1620390	ok
65304	07/06/2021 16:26:43	1	5	1665256	1	539	1663589	1668071	1	540	1666290	2	2494	inorganic	correct	1670604	1	541	1668990	1672053	1	542	1671689	3	1189	1673270	1	542	1671689	faj_07783.png	faj_Schuh.png	faj_Parfuem.png	524	1620390	ok
65304	07/06/2021 16:26:54	1	6	1677002	1	543	1674390	1680251	1	545	1679789	2	808	inorganic	correct	1681084	1	545	1679789	1683983	1	546	1682490	4	229	1684249	1	546	1682490	fax_14883.png	fax_Fahrrad.png	fax_Klebeband.png	524	1620390	ok
65304	07/06/2021 16:27:05	1	7	1688681	1	548	1687889	1691513	1	549	1690590	0	0	inorganic	miss	1691513	1	550	1693289	1695495	1	550	1693289	3	386	1695912	1	550	1693289	fap_16329.png	fap_Knopf.png	fap_Kissen.png	524	1620390	ok
65304	07/06/2021 16:27:16	1	8	1699311	1	552	1698690	1701094	1	552	1698690	3	655	inorganic	incorrect	1701777	1	553	1701389	1705525	1	554	1704089	3	1359	1706908	1	555	1706790	fab_06018.png	fab_Kinderwagen.png	fab_Staubsauger.png	524	1620390	ok
65304	07/06/2021 16:27:27	1	9	1710724	1	556	1709489	1712923	1	557	1712189	2	792	organic	incorrect	1713739	1	557	1712189	1716422	1	558	1714890	3	271	1716755	1	558	1714890	moh_06446.png	moh_Muecke.png	moh_Birne.png	524	1620390	ok
65304	07/06/2021 16:27:37	1	10	1721703	1	560	1720289	1723686	1	561	1722990	3	1681	inorganic	incorrect	1725402	1	561	1722990	1727218	1	562	1725689	3	1004	1728251	1	562	1725689	faw_14215.png	faw_Hufeisen.png	faw_Kuechenmaschine.png	524	1620390	ok
65304	07/06/2021 16:27:48	1	11	1731117	1	563	1728389	1732999	1	564	1731089	0	0	organic	miss	1732999	1	565	1733789	1736682	1	566	1736489	2	1588	1738298	1	566	1736489	mob_00760.png	mob_Kiwi.png	mob_Igel.png	524	1620390	ok
65304	07/06/2021 16:27:59	1	12	1741880	1	567	1739189	1744929	1	569	1744589	2	662	organic	incorrect	1745612	1	569	1744589	1748461	1	570	1747289	3	2593	1751077	1	571	1749989	moe_02012.png	moe_Pommes.png	moe_Waschbaer.png	524	1620390	ok
65304	07/06/2021 16:28:10	1	13	1753359	1	572	1752689	1756275	1	573	1755389	0	0	inorganic	miss	1756275	1	574	1758089	1761107	1	575	1760789	2	531	1761673	1	575	1760789	fal_07906.png	fal_Korb.png	fal_Buegeleisen.png	524	1620390	ok
