ID	DateTime	Run	Delayed_Retrieval_Trial	First_Pulse_Time	FaceRecog_OnsetTime	FaceRecog_OnsetTimeUncertainty	FaceRecog_fMRI_Pulse	FaceRecog_fMRI_PulseTime	Assoc_Retrieval_OnsetTime	Assoc_Retrieval_OnsetTimeUncertainty	Assoc_Retrieval_fMRI_Pulse	Assoc_Retrieval_fMRI_PulseTime	Assoc_Retrieval_Pressed_Button	Assoc_Retrieval_RT	Assoc_Retrieval_Response_Category	Assoc_Retrieval_Accuracy	Assoc_Retrieval_Feedback_OnsetTime	Assoc_Retrieval_Feedback_OnsetTimeUncertainty	Assoc_Retrieval_Feedback_fMRI_Pulse	Assoc_Retrieval_Feedback_fMRI_PulseTime	Retrieval_consc_Rating_OnsetTime	Retrieval_consc_Rating_OnsetTimeUncertainty	Retrieval_consc_Rating_fMRI_Pulse	Retrieval_consc_Rating_fMRI_PulseTime	Retrieval_consc_Rating_Pressed_Button	Retrieval_consc_Rating_RT	Retrieval_consc_Rating_Feedback_OnsetTime	Retrieval_consc_Rating_Feedback_OnsetTimeUncertainty	Retrieval_consc_Rating_Feedback_fMRI_Pulse	Retrieval_consc_Rating_Feedback_fMRI_PulseTime	ForcedChoice_OnsetTime	ForcedChoice_OnsetTimeUncertainty	ForcedChoice_fMRI_Pulse	ForcedChoice_fMRI_PulseTime	ForcedChoice_Pressed_Button	ForcedChoice_RT	ForcedChoice_Response_Category	ForcedChoice_Accuracy	ForcedChoice_Feedback_OnsetTime	ForcedChoice_Feedback_OnsetTimeUncertainty	ForcedChoice_Feedback_fMRI_Pulse	ForcedChoice_Feedback_fMRI_PulseTime	Recognition_consc_Rating_OnsetTime	Recognition_consc_Rating_OnsetTimeUncertainty	Recognition_consc_Rating_fMRI_Pulse	Recognition_consc_Rating_fMRI_PulseTime	Recognition_consc_Rating_Pressed_Button	Recognition_consc_Rating_RT	Recognition_consc_Rating_Feedback_OnsetTime	Recognition_consc_Rating_Feedback_OnsetTimeUncertainty	Recognition_consc_Rating_Feedback_fMRI_Pulse	Recognition_consc_Rating_Feedback_fMRI_PulseTime	Presented_Person	Presented_Target	Presented_Lure	TrialStatus
62150	08/04/2021 14:09:29	1	1	31561	47034	1	6	45060	48716	1	7	47761	2	2559	inorganic	correct	51299	1	8	50462	52632	1	8	50462	3	1318	53981	1	9	53162	57014	1	10	55861	2	2187	inorganic	correct	59230	1	11	58562	61262	1	11	58562	2	1249	62545	1	12	61261	fab_06018.png	fab_Kinderwagen.png	fab_Staubsauger.png	ok
62150	08/04/2021 14:09:51	1	2	31561	65577	1	13	63961	68393	1	14	66662	3	612	organic	correct	69043	1	14	66662	72842	1	16	72061	4	611	73475	1	16	72061	76857	1	17	74762	3	1043	organic	correct	77940	1	18	77461	82055	1	19	80161	4	866	82955	1	20	82862	mon_65798.png	mon_Fuchs.png	mon_Kartoffel.png	ok
62150	08/04/2021 14:10:10	1	3	31561	87353	1	21	85561	88920	1	22	88261	3	673	inorganic	incorrect	89619	1	22	88261	92618	1	23	90962	3	563	93218	1	23	90962	97717	1	25	96361	3	1622	inorganic	correct	99366	1	26	99062	101915	1	27	101761	4	1742	103681	1	27	101761	maw_04767.png	maw_Pingpongschlaeger.png	maw_Schlauchboot.png	ok
62150	08/04/2021 14:10:28	1	4	31561	106280	1	28	104461	109446	1	29	107162	3	484	organic	correct	109962	1	30	109862	112961	1	31	112561	3	504	113495	1	31	112561	116527	1	32	115261	3	2400	organic	correct	118959	1	33	117961	121425	1	34	120662	3	1360	122808	1	34	120662	fot_00797.png	fot_Taube.png	fot_Salat.png	ok
62150	08/04/2021 14:10:50	1	5	31561	124991	1	35	123361	127373	1	36	126061	3	430	organic	correct	127856	1	36	126061	132338	1	38	131461	4	622	132988	1	38	131461	136004	1	39	134161	2	688	organic	correct	136720	1	39	134161	141368	1	41	139561	4	437	141835	1	41	139561	mot_69374.png	mot_Bison.png	mot_Hotdog.png	ok
62150	08/04/2021 14:11:09	1	6	31561	146134	1	43	144961	148216	1	44	147661	2	1302	organic	incorrect	149549	1	44	147661	152631	1	45	150361	2	427	153081	6	45	150361	156663	1	47	155761	2	2952	organic	correct	159646	1	48	158462	160779	1	48	158462	2	900	161712	1	49	161162	mol_07679.png	mol_Schimpanse.png	mol_Pizza.png	ok
62150	08/04/2021 14:11:30	1	7	31561	165244	1	50	163862	167910	1	51	166562	2	303	inorganic	correct	168243	1	51	166562	172791	1	53	171962	4	878	173724	1	53	171962	177823	1	55	177361	3	1819	inorganic	correct	179672	1	55	177361	181705	1	56	180062	4	690	182421	1	56	180062	mae_01010.png	mae_Taschenrechner.png	mae_Schach.png	ok
62150	08/04/2021 14:11:50	1	8	31561	186670	1	58	185461	189619	1	59	188162	2	842	organic	incorrect	190485	1	59	188162	193168	1	60	190862	3	412	193618	1	61	193561	198183	1	62	196262	2	1355	organic	correct	199566	1	63	198962	202465	1	64	201661	3	1585	204081	1	64	201661	foi_03389.png	foi_Apfelkuchen.png	foi_Pflanze.png	ok
62150	08/04/2021 14:12:09	1	9	31561	206430	1	65	204362	209979	1	67	209761	3	724	organic	correct	210728	1	67	209761	213644	1	68	212462	3	746	214427	1	68	212462	217410	1	69	215162	3	1745	organic	correct	219176	1	70	217861	221175	1	71	220562	4	1588	222791	1	71	220562	foa_00207.png	foa_Aubergine.png	foa_Marienkaefer.png	ok
62150	08/04/2021 14:12:31	1	10	31561	225423	1	72	223262	228772	1	74	228662	3	520	organic	correct	229322	1	74	228662	233554	1	75	231361	4	878	234470	1	76	234061	238486	1	77	236762	3	2408	organic	correct	240918	1	78	239461	243051	1	79	242161	2	1749	244834	1	79	242161	foe_08236.png	foe_Tannenzapfen.png	foe_Adler.png	ok
