ID	DateTime	Run	Delayed_Retrieval_Trial	First_Pulse_Time	FaceRecog_OnsetTime	FaceRecog_OnsetTimeUncertainty	FaceRecog_fMRI_Pulse	FaceRecog_fMRI_PulseTime	Assoc_Retrieval_OnsetTime	Assoc_Retrieval_OnsetTimeUncertainty	Assoc_Retrieval_fMRI_Pulse	Assoc_Retrieval_fMRI_PulseTime	Assoc_Retrieval_Pressed_Button	Assoc_Retrieval_RT	Assoc_Retrieval_Response_Category	Assoc_Retrieval_Accuracy	Assoc_Retrieval_Feedback_OnsetTime	Assoc_Retrieval_Feedback_OnsetTimeUncertainty	Assoc_Retrieval_Feedback_fMRI_Pulse	Assoc_Retrieval_Feedback_fMRI_PulseTime	Retrieval_consc_Rating_OnsetTime	Retrieval_consc_Rating_OnsetTimeUncertainty	Retrieval_consc_Rating_fMRI_Pulse	Retrieval_consc_Rating_fMRI_PulseTime	Retrieval_consc_Rating_Pressed_Button	Retrieval_consc_Rating_RT	Retrieval_consc_Rating_Feedback_OnsetTime	Retrieval_consc_Rating_Feedback_OnsetTimeUncertainty	Retrieval_consc_Rating_Feedback_fMRI_Pulse	Retrieval_consc_Rating_Feedback_fMRI_PulseTime	ForcedChoice_OnsetTime	ForcedChoice_OnsetTimeUncertainty	ForcedChoice_fMRI_Pulse	ForcedChoice_fMRI_PulseTime	ForcedChoice_Pressed_Button	ForcedChoice_RT	ForcedChoice_Response_Category	ForcedChoice_Accuracy	ForcedChoice_Feedback_OnsetTime	ForcedChoice_Feedback_OnsetTimeUncertainty	ForcedChoice_Feedback_fMRI_Pulse	ForcedChoice_Feedback_fMRI_PulseTime	Recognition_consc_Rating_OnsetTime	Recognition_consc_Rating_OnsetTimeUncertainty	Recognition_consc_Rating_fMRI_Pulse	Recognition_consc_Rating_fMRI_PulseTime	Recognition_consc_Rating_Pressed_Button	Recognition_consc_Rating_RT	Recognition_consc_Rating_Feedback_OnsetTime	Recognition_consc_Rating_Feedback_OnsetTimeUncertainty	Recognition_consc_Rating_Feedback_fMRI_Pulse	Recognition_consc_Rating_Feedback_fMRI_PulseTime	Presented_Person	Presented_Target	Presented_Lure	TrialStatus
65304	07/07/2021 16:16:28	1	1	31375	44551	1	5	42174	46950	1	6	44874	2	2367	inorganic	correct	49349	1	7	47575	51365	1	8	50274	2	766	52199	1	8	50274	55831	1	10	55675	2	2090	inorganic	incorrect	57947	1	10	55675	60046	1	11	58374	2	2079	62162	1	12	61074	mak_00987.png	mak_Socken.png	mak_Rucksack.png	ok
65304	07/07/2021 16:16:48	1	2	31375	63928	1	13	63775	66643	6	14	66474	3	1093	organic	correct	67760	1	14	66474	70809	1	15	69174	2	855	71692	1	15	69174	74308	1	16	71875	2	2044	organic	correct	76374	1	17	74574	79289	1	18	77274	0	0	79289	1	19	79975	foc_02157.png	foc_Brombeere.png	foc_Eule.png	ok
65304	07/07/2021 16:17:07	1	3	31375	83505	1	20	82674	85987	1	21	85374	3	2074	organic	correct	88086	1	21	85374	89486	1	22	88074	2	1675	91185	1	23	90774	94384	1	24	93474	2	2842	organic	incorrect	97250	1	25	96174	98000	1	25	96174	3	1023	99049	1	26	98874	foa_00207.png	foa_Aubergine.png	foa_Marienkaefer.png	ok
65304	07/07/2021 16:17:28	1	4	31375	103215	1	27	101574	106330	1	28	104274	3	417	organic	correct	106780	1	28	104274	110229	1	30	109674	2	1599	111862	1	30	109674	114894	1	31	112374	0	0	organic	miss	114894	1	33	117774	119076	1	33	117774	2	1267	120376	1	33	117774	mon_65798.png	mon_Kartoffel.png	mon_Fuchs.png	ok
65304	07/07/2021 16:17:47	1	5	31375	123908	1	35	123174	126140	1	36	125874	2	798	inorganic	correct	126973	1	36	125874	130972	1	37	128574	3	764	131772	1	38	131274	134337	1	39	133974	2	1977	inorganic	correct	136337	1	39	133974	138569	1	40	136674	3	1146	139752	1	41	139374	faj_07783.png	faj_Schuh.png	faj_Parfuem.png	ok
65304	07/07/2021 16:18:06	1	6	31375	143134	1	42	142074	145517	1	43	144774	3	235	inorganic	incorrect	145784	1	43	144774	149482	1	44	147474	2	595	150115	1	44	147474	154631	1	46	152874	3	1549	inorganic	correct	156213	1	47	155574	158296	1	47	155574	4	688	159012	1	48	158274	fap_16329.png	fap_Knopf.png	fap_Kissen.png	ok
65304	07/07/2021 16:18:25	1	7	31375	162195	1	49	160974	165644	1	50	163674	3	2375	inorganic	incorrect	168043	1	51	166374	169676	1	52	169074	2	856	170559	1	52	169074	173508	1	53	171774	0	0	inorganic	miss	173508	1	54	174474	177456	1	55	177174	2	1172	178656	1	55	177174	fab_06018.png	fab_Kinderwagen.png	fab_Staubsauger.png	ok
65304	07/07/2021 16:18:45	1	8	31375	180905	1	56	179873	184121	1	57	182574	2	814	inorganic	correct	184970	1	57	182574	188053	1	59	187973	3	1201	189286	1	59	187973	191751	1	60	190674	3	991	inorganic	correct	192768	1	60	190674	197283	1	62	196073	4	308	197616	1	62	196073	fax_14883.png	fax_Fahrrad.png	fax_Klebeband.png	ok
65304	07/07/2021 16:19:05	1	9	31375	201315	1	63	198774	203431	1	64	201474	3	1736	organic	correct	205197	1	65	204173	206863	1	65	204173	2	282	207180	1	66	206874	211178	1	67	209574	0	0	organic	miss	211178	1	68	212273	215977	1	69	214974	2	521	216526	1	69	214974	moe_02012.png	moe_Pommes.png	moe_Waschbaer.png	ok
65304	07/07/2021 16:19:23	1	10	31375	220475	1	71	220373	222124	1	71	220373	3	2091	inorganic	incorrect	224240	1	72	223074	226873	1	73	225773	3	2535	229439	1	74	228473	230222	1	74	228473	2	2127	inorganic	correct	232371	1	75	231174	233871	1	75	231174	3	1057	234953	1	76	233873	faw_14215.png	faw_Hufeisen.png	faw_Kuechenmaschine.png	ok
