ID	DateTime	Run	Delayed_Retrieval_Trial	First_Pulse_Time	FaceRecog_OnsetTime	FaceRecog_OnsetTimeUncertainty	FaceRecog_fMRI_Pulse	FaceRecog_fMRI_PulseTime	Assoc_Retrieval_OnsetTime	Assoc_Retrieval_OnsetTimeUncertainty	Assoc_Retrieval_fMRI_Pulse	Assoc_Retrieval_fMRI_PulseTime	Assoc_Retrieval_Pressed_Button	Assoc_Retrieval_RT	Assoc_Retrieval_Response_Category	Assoc_Retrieval_Accuracy	Assoc_Retrieval_Feedback_OnsetTime	Assoc_Retrieval_Feedback_OnsetTimeUncertainty	Assoc_Retrieval_Feedback_fMRI_Pulse	Assoc_Retrieval_Feedback_fMRI_PulseTime	Retrieval_consc_Rating_OnsetTime	Retrieval_consc_Rating_OnsetTimeUncertainty	Retrieval_consc_Rating_fMRI_Pulse	Retrieval_consc_Rating_fMRI_PulseTime	Retrieval_consc_Rating_Pressed_Button	Retrieval_consc_Rating_RT	Retrieval_consc_Rating_Feedback_OnsetTime	Retrieval_consc_Rating_Feedback_OnsetTimeUncertainty	Retrieval_consc_Rating_Feedback_fMRI_Pulse	Retrieval_consc_Rating_Feedback_fMRI_PulseTime	ForcedChoice_OnsetTime	ForcedChoice_OnsetTimeUncertainty	ForcedChoice_fMRI_Pulse	ForcedChoice_fMRI_PulseTime	ForcedChoice_Pressed_Button	ForcedChoice_RT	ForcedChoice_Response_Category	ForcedChoice_Accuracy	ForcedChoice_Feedback_OnsetTime	ForcedChoice_Feedback_OnsetTimeUncertainty	ForcedChoice_Feedback_fMRI_Pulse	ForcedChoice_Feedback_fMRI_PulseTime	Recognition_consc_Rating_OnsetTime	Recognition_consc_Rating_OnsetTimeUncertainty	Recognition_consc_Rating_fMRI_Pulse	Recognition_consc_Rating_fMRI_PulseTime	Recognition_consc_Rating_Pressed_Button	Recognition_consc_Rating_RT	Recognition_consc_Rating_Feedback_OnsetTime	Recognition_consc_Rating_Feedback_OnsetTimeUncertainty	Recognition_consc_Rating_Feedback_fMRI_Pulse	Recognition_consc_Rating_Feedback_fMRI_PulseTime	Presented_Person	Presented_Target	Presented_Lure	TrialStatus
68576	09/15/2021 15:13:37	1	1	47627	61012	1	5	58428	64161	1	7	63827	2	1577	organic	incorrect	65761	1	7	63827	68676	1	8	66528	2	1416	70126	1	9	69227	73441	1	10	71927	2	1494	organic	correct	74974	1	11	74628	78123	1	12	77327	3	1130	79289	1	12	77327	moj_11821.png	moj_Walnuss.png	moj_Blatt.png	ok
68576	09/15/2021 15:14:00	1	2	47627	82238	1	13	80027	85354	1	14	82727	2	768	organic	incorrect	86154	1	15	85427	89719	1	16	88127	2	1014	90769	1	16	88127	94834	1	18	93527	2	1315	organic	correct	96184	1	18	93527	99932	1	20	98927	3	331	100299	1	20	98927	mot_69374.png	mot_Bison.png	mot_Hotdog.png	ok
68576	09/15/2021 15:14:21	1	3	47627	104931	1	22	104327	108396	1	23	107027	2	1018	inorganic	correct	109446	1	23	107027	113045	1	25	112427	3	391	113461	1	25	112427	117226	1	26	115127	2	1257	inorganic	correct	118509	1	27	117827	122008	1	28	120526	4	259	122291	1	28	120526	mac_59169.png	mac_Medaille.png	mac_Dartpfeil.png	ok
68576	09/15/2021 15:14:41	1	4	47627	126507	1	30	125927	129056	1	31	128627	3	969	inorganic	incorrect	130055	1	31	128627	133154	1	32	131327	3	1105	134287	1	33	134027	137936	1	34	136727	2	1055	inorganic	correct	139019	1	34	136727	141801	1	35	139427	4	385	142218	1	36	142127	faj_07783.png	faj_Parfuem.png	faj_Schuh.png	ok
68576	09/15/2021 15:15:02	1	5	47627	146400	1	37	144827	148682	1	38	147527	3	1274	organic	correct	149982	1	38	147527	153381	1	40	152927	3	449	153864	1	40	152927	158496	1	42	158327	2	658	organic	correct	159179	1	42	158327	163128	1	43	161027	4	1181	164344	1	44	163727	mou_01862.png	mou_Croissant.png	mou_Kraehe.png	ok
68576	09/15/2021 15:15:22	1	6	47627	167343	1	45	166426	169659	1	46	169127	3	709	organic	correct	170392	1	46	169127	173691	1	47	171827	3	530	174257	1	47	171827	178706	1	49	177227	3	1473	organic	correct	180205	1	50	179927	183121	1	51	182626	4	363	183521	1	51	182626	fop_00621.png	fop_Koala.png	fop_Mango.png	ok
68576	09/15/2021 15:15:43	1	7	47627	186703	1	52	185327	188769	1	53	188027	2	1450	inorganic	correct	190252	1	53	188027	193067	1	54	190726	2	1378	194467	1	55	193427	198149	1	56	196127	3	1482	inorganic	correct	199665	1	57	198826	203731	1	58	201527	2	270	204030	1	58	201527	mae_01010.png	mae_Schach.png	mae_Taschenrechner.png	ok
68576	09/15/2021 15:16:04	1	8	47627	208296	1	60	206926	210645	1	61	209627	2	1491	organic	incorrect	212161	1	61	209627	215810	1	63	215026	3	1355	217193	1	63	215026	219775	1	64	217727	2	1846	organic	incorrect	221641	1	65	220426	224457	1	66	223126	2	295	224790	1	66	223126	mon_65798.png	mon_Kartoffel.png	mon_Fuchs.png	ok
68576	09/15/2021 15:16:23	1	9	47627	228822	1	68	228526	231121	1	68	228526	3	1485	organic	correct	232637	1	69	231226	236403	1	70	233927	2	244	236669	1	71	236626	239952	1	72	239326	2	1364	organic	correct	241351	1	72	239326	243867	1	73	242027	3	273	244167	1	73	242027	mob_00760.png	mob_Kiwi.png	mob_Igel.png	ok
68576	09/15/2021 15:16:44	1	10	47627	247699	1	75	247426	250998	1	76	250126	3	660	organic	correct	251681	1	76	250126	254863	1	77	252826	4	264	255163	1	77	252826	259428	1	79	258226	3	1023	organic	correct	260478	1	79	258226	264060	1	81	263626	4	919	265010	1	81	263626	fok_09378.png	fok_Palme.png	fok_Kaenguruh.png	ok
68576	09/15/2021 15:17:04	1	11	47627	268825	1	82	266326	270641	1	83	269026	3	1598	organic	correct	272291	1	84	271726	275323	1	85	274426	2	1309	276656	1	85	274426	278788	1	86	277126	2	1707	organic	correct	280521	1	87	279826	283803	1	88	282526	3	203	284037	1	88	282526	foa_00207.png	foa_Aubergine.png	foa_Marienkaefer.png	ok
68576	09/15/2021 15:17:26	1	12	47627	288552	1	90	287926	291784	1	91	290626	3	1288	organic	correct	293100	1	91	290626	296899	1	93	296025	2	271	297199	1	93	296025	300781	1	94	298726	3	1791	organic	correct	302597	1	95	301426	305979	1	96	304125	2	225	306229	1	96	304125	mol_07679.png	mol_Pizza.png	mol_Schimpanse.png	ok
68576	09/15/2021 15:17:47	1	13	47627	311277	1	98	309526	314576	1	99	312225	2	529	inorganic	correct	315126	1	100	314926	319041	1	101	317626	4	373	319441	1	101	317626	322757	1	102	320325	3	998	inorganic	correct	323807	1	103	323026	326722	1	104	325726	4	297	327055	1	104	325726	maj_01545.png	maj_Computermaus.png	maj_Krawatte.png	ok
68576	09/15/2021 15:18:04	1	14	47627	331754	1	106	331126	333670	1	106	331126	3	1152	inorganic	incorrect	334853	1	107	333825	337152	1	108	336525	2	1250	338435	1	108	336525	340867	1	109	339226	2	1794	inorganic	correct	342683	1	110	341925	345632	1	111	344625	3	835	346499	1	111	344625	fab_06018.png	fab_Staubsauger.png	fab_Kinderwagen.png	ok
68576	09/15/2021 15:18:24	1	15	47627	348998	1	112	347326	351381	1	113	350025	3	1066	organic	correct	352480	1	113	350025	356029	1	115	355426	2	1423	357478	1	115	355426	360927	1	117	360825	2	1960	organic	correct	362910	1	117	360825	364893	1	118	363526	3	225	365143	1	118	363526	fot_00797.png	fot_Taube.png	fot_Salat.png	ok
68576	09/15/2021 15:18:45	1	16	47627	368575	1	119	366225	372140	1	121	371626	2	1218	organic	incorrect	373406	1	121	371626	376355	1	122	374325	2	998	377388	1	123	377025	380071	1	124	379725	2	1231	organic	correct	381337	1	124	379725	385436	1	126	385125	4	285	385752	1	126	385125	foi_03389.png	foi_Apfelkuchen.png	foi_Pflanze.png	ok
68576	09/15/2021 15:19:06	1	17	47627	389951	1	127	387825	391617	1	128	390525	2	1629	organic	incorrect	393266	1	129	393225	396432	1	130	395925	2	1100	397565	1	130	395925	401530	1	132	401325	2	1419	organic	correct	402980	1	132	401325	406362	1	133	404025	4	346	406728	1	133	404025	moe_02012.png	moe_Waschbaer.png	moe_Pommes.png	ok
68576	09/15/2021 15:19:27	1	18	47627	410944	1	135	409425	413976	1	136	412125	2	1298	organic	incorrect	415309	1	137	414825	417608	1	138	417525	2	1096	418741	1	138	417525	421207	1	139	420225	3	1461	organic	correct	422706	1	139	420225	426705	1	141	425624	4	312	427038	1	141	425624	mom_59361.png	mom_Loewe.png	mom_Ei.png	ok
