ID	DateTime	Run	Encoding_Trial	FaceBase_OnsetTime	FaceBase_OnsetTimeUncertainty	FaceBase_fMRI_Pulse	FaceBase_fMRI_PulseTime	Assoc_Encoding_OnsetTime	Assoc_Encoding_OnsetTimeUncertainty	Assoc_Encoding_fMRI_Pulse	Assoc_Encoding_fMRI_PulseTime	Immediate_Recall_OnsetTime	Immediate_Recall_OnsetTimeUncertainty	Immediate_Recall_fMRI_Pulse	Immediate_Recall_fMRI_PulseTime	Immediate_Recall_Pressed_Button	Immediate_Recall_RT	Immediate_Recall_Accuracy	Immediate_Recall_Feedback_OnsetTime	Immediate_Recall_Feedback_OnsetTimeUncertainty	Immediate_Recall_Feedback_fMRI_Pulse	Immediate_Recall_Feedback_fMRI_PulseTime	Presented_Person	Presented_Object	Object_Category	First_pulse_time	TrialStatus
60743	08/10/2021 13:32:13	1	1	38520	1	7	38133	42102	1	8	40253	45901	1	10	44493	3	494	correct	46434	1	10	44493	mou_01862.png	mou_Kraehe.png	organic	25413	ok
60743	08/10/2021 13:32:24	1	2	50816	1	12	48733	54181	1	14	52973	57363	1	16	57213	3	446	correct	57847	1	16	57213	mom_59361.png	mom_Loewe.png	organic	25413	ok
60743	08/10/2021 13:32:34	1	3	61096	1	17	59333	62962	1	18	61452	66227	1	20	65693	2	422	correct	66677	1	20	65693	far_00736.png	far_Giesskanne.png	inorganic	25413	ok
60743	08/10/2021 13:32:44	1	4	71425	1	22	69933	74091	1	23	72053	77657	1	25	76293	2	526	correct	78206	1	25	76293	map_41499.png	map_Globus.png	inorganic	25413	ok
60743	08/10/2021 13:32:55	1	5	81389	1	27	80533	83288	1	28	82653	88153	1	30	86893	3	534	correct	88720	1	30	86893	mon_65798.png	mon_Kartoffel.png	organic	25413	ok
60743	08/10/2021 13:33:08	1	6	92618	1	32	91133	96184	1	34	95373	100865	1	36	99612	2	401	correct	101299	1	36	99612	fat_12032.png	fat_Einkaufswagen.png	inorganic	25413	ok
60743	08/10/2021 13:33:19	1	7	105064	1	38	103853	108613	1	40	108092	112312	1	41	110212	2	551	correct	112895	1	42	112333	fap_16329.png	fap_Knopf.png	inorganic	25413	ok
60743	08/10/2021 13:33:29	1	8	115977	1	43	114453	117626	1	44	116572	121658	1	46	120813	3	751	correct	122442	1	46	120813	foj_08220.png	foj_Rose.png	organic	25413	ok
60743	08/10/2021 13:33:40	1	9	126074	1	48	125052	128639	1	49	127173	132555	1	51	131412	2	431	correct	133021	1	51	131412	fax_14883.png	fax_Fahrrad.png	inorganic	25413	ok
60743	08/10/2021 13:33:53	1	10	137536	1	53	135653	140919	1	55	139892	145934	1	57	144133	3	525	correct	146483	1	58	146252	fot_00797.png	fot_Salat.png	organic	25413	ok
60743	08/10/2021 13:34:05	1	11	150582	1	60	150492	152531	1	60	150492	157263	1	63	156852	3	881	correct	158179	1	63	156852	moe_02012.png	moe_Waschbaer.png	organic	25413	ok
60743	08/10/2021 13:34:15	1	12	162062	1	65	161092	163694	1	66	163212	168259	1	68	167453	3	1098	correct	169392	1	68	167453	fop_00621.png	fop_Koala.png	organic	25413	ok
60743	08/10/2021 13:34:27	1	13	172808	1	70	171692	175540	1	71	173812	180139	1	73	178052	2	587	correct	180755	1	74	180172	fal_07906.png	fal_Buegeleisen.png	inorganic	25413	ok
60743	08/10/2021 13:34:40	1	14	184754	1	76	184412	187136	1	77	186532	192235	1	79	190772	2	1266	correct	193551	1	80	192892	maw_04767.png	maw_Schlauchboot.png	inorganic	25413	ok
60743	08/10/2021 13:34:53	1	15	197316	1	82	197132	200499	1	83	199251	205247	1	85	203492	3	883	correct	206163	1	86	205612	moj_11821.png	moj_Blatt.png	organic	25413	ok
60743	08/10/2021 13:35:04	1	16	210012	1	88	209852	211961	1	88	209852	216243	1	90	214092	2	605	correct	216876	1	91	216212	fac_02146.png	fac_Ohrring.png	inorganic	25413	ok
60743	08/10/2021 13:35:13	1	17	221042	1	93	220452	223008	1	94	222571	226290	1	95	224692	3	540	correct	226856	1	96	226812	mog_03090.png	mog_Fledermaus.png	organic	25413	ok
60743	08/10/2021 13:35:25	1	18	230255	1	97	228932	232938	1	98	231051	237919	1	101	237411	2	756	correct	238702	1	101	237411	fan_17286.png	fan_Klavier.png	inorganic	25413	ok
60743	08/10/2021 13:35:36	1	19	242151	1	103	241652	243801	1	103	241652	248416	1	106	248012	2	475	correct	248916	1	106	248012	mau_49693.png	mau_Wasserventil.png	inorganic	25413	ok
60743	08/10/2021 13:35:47	1	20	253114	1	108	252252	256613	1	110	256492	260728	1	111	258612	3	446	correct	261211	1	112	260731	mof_02408.png	mof_Hahn.png	organic	25413	ok
60743	08/10/2021 13:35:58	1	21	264744	1	113	262851	266826	1	114	264972	270742	1	116	269211	3	417	correct	271191	1	116	269211	fok_09378.png	fok_Kaenguruh.png	organic	25413	ok
