ID	DateTime	Run	Encoding_Trial	FaceBase_OnsetTime	FaceBase_OnsetTimeUncertainty	FaceBase_fMRI_Pulse	FaceBase_fMRI_PulseTime	Assoc_Encoding_OnsetTime	Assoc_Encoding_OnsetTimeUncertainty	Assoc_Encoding_fMRI_Pulse	Assoc_Encoding_fMRI_PulseTime	Immediate_Recall_OnsetTime	Immediate_Recall_OnsetTimeUncertainty	Immediate_Recall_fMRI_Pulse	Immediate_Recall_fMRI_PulseTime	Immediate_Recall_Pressed_Button	Immediate_Recall_RT	Immediate_Recall_Accuracy	Immediate_Recall_Feedback_OnsetTime	Immediate_Recall_Feedback_OnsetTimeUncertainty	Immediate_Recall_Feedback_fMRI_Pulse	Immediate_Recall_Feedback_fMRI_PulseTime	Presented_Person	Presented_Object	Object_Category	First_pulse_time	TrialStatus
68766	07/27/2021 16:08:08	1	1	76890	1	6	75899	80406	1	8	80143	83621	1	9	82262	2	1204	correct	84854	1	10	84382	fax_14883.png	fax_Fahrrad.png	inorganic	65303	ok
68766	07/27/2021 16:08:20	1	2	87603	1	11	86503	90102	1	12	88623	94817	1	14	92862	3	580	correct	95434	1	15	94983	fok_09378.png	fok_Palme.png	organic	65303	ok
68766	07/27/2021 16:08:32	1	3	99666	1	17	99222	102498	1	18	101342	106647	1	20	105582	3	380	correct	107063	1	20	105582	foq_16799.png	foq_Fenchel.png	organic	65303	ok
68766	07/27/2021 16:08:43	1	4	112012	1	23	111943	114594	1	24	114062	117726	1	25	116182	2	505	correct	118260	1	25	116182	mao_11634.png	mao_Stempel.png	inorganic	65303	ok
68766	07/27/2021 16:08:54	1	5	122625	1	28	122542	125290	1	29	124662	128689	1	30	126783	2	583	incorrect	129306	1	31	128902	for_15187.png	for_Seehund.png	organic	65303	ok
68766	07/27/2021 16:09:06	1	6	133404	1	33	133142	136320	1	34	135263	141118	1	36	139502	2	446	correct	141602	1	36	139502	fan_17286.png	fan_Klavier.png	inorganic	65303	ok
68766	07/27/2021 16:09:16	1	7	145450	1	38	143742	147116	1	39	145862	150965	1	41	150103	3	469	correct	151465	1	41	150103	foa_00207.png	foa_Aubergine.png	organic	65303	ok
68766	07/27/2021 16:09:28	1	8	156297	1	43	154342	159362	1	45	158582	163344	1	47	162822	2	467	correct	163844	1	47	162822	fap_16329.png	fap_Knopf.png	inorganic	65303	ok
68766	07/27/2021 16:09:38	1	9	167426	1	49	167062	170625	1	50	169182	174341	1	52	173422	3	384	correct	174757	1	52	173422	moh_06446.png	moh_Muecke.png	organic	65303	ok
68766	07/27/2021 16:09:48	1	10	177889	1	54	177662	180888	1	55	179782	184021	1	56	181902	2	587	correct	184637	1	57	184022	fal_07906.png	fal_Korb.png	inorganic	65303	ok
68766	07/27/2021 16:10:01	1	11	187919	1	58	186142	190785	1	60	190382	195750	1	62	194622	2	590	correct	196366	1	62	194622	fab_06018.png	fab_Staubsauger.png	inorganic	65303	ok
68766	07/27/2021 16:10:12	1	12	200532	1	64	198862	203747	1	66	203102	208062	1	68	207342	2	503	correct	208612	1	68	207342	mae_01010.png	mae_Schach.png	inorganic	65303	ok
68766	07/27/2021 16:10:22	1	13	212178	1	70	211582	213927	1	71	213701	217359	1	72	215822	2	347	correct	217743	1	72	215822	mas_41366.png	mas_Tisch.png	inorganic	65303	ok
68766	07/27/2021 16:10:33	1	14	222008	1	74	220061	225407	1	76	224302	229539	1	78	228541	3	748	correct	230322	1	78	228541	fou_17118.png	fou_Feige.png	organic	65303	ok
68766	07/27/2021 16:10:45	1	15	232987	1	80	232782	235920	1	81	234901	240835	1	83	239142	2	446	correct	241318	1	84	241262	map_41499.png	map_Pfeife.png	inorganic	65303	ok
68766	07/27/2021 16:10:55	1	16	244533	1	85	243381	247049	1	86	245501	250731	1	88	249742	3	436	correct	251198	1	88	249742	mog_03090.png	mog_Fledermaus.png	organic	65303	ok
68766	07/27/2021 16:11:04	1	17	254413	1	90	253981	256763	1	91	256102	260262	1	92	258221	2	416	correct	260711	1	93	260341	fac_02146.png	fac_Ohrring.png	inorganic	65303	ok
68766	07/27/2021 16:11:17	1	18	263710	1	94	262461	266693	1	95	264582	271424	1	98	270942	2	447	correct	271908	1	98	270942	faj_07783.png	faj_Schuh.png	inorganic	65303	ok
68766	07/27/2021 16:11:27	1	19	276439	1	100	275181	279872	1	102	279422	283054	1	103	281541	3	410	correct	283487	1	103	281541	mof_02408.png	mof_Hahn.png	organic	65303	ok
68766	07/27/2021 16:11:38	1	20	286569	1	105	285781	289235	1	106	287902	293150	1	108	292141	3	734	correct	293917	1	108	292141	mou_01862.png	mou_Croissant.png	organic	65303	ok
68766	07/27/2021 16:11:49	1	21	297466	1	110	296381	300398	1	111	298501	305246	1	114	304861	2	417	correct	305713	1	114	304861	mai_06530.png	mai_Gewehr.png	inorganic	65303	ok
68766	07/27/2021 16:12:01	1	22	309028	1	115	306981	311794	1	117	311221	316026	1	119	315461	3	374	correct	316426	1	119	315461	mos_20953.png	mos_Traube.png	organic	65303	ok
68766	07/27/2021 16:12:11	1	23	320941	1	121	319701	323807	1	122	321821	327405	1	124	326061	2	416	correct	327855	1	124	326061	mau_49693.png	mau_Leiter.png	inorganic	65303	ok
68766	07/27/2021 16:12:21	1	24	331088	1	126	330301	332654	1	127	332421	336103	1	128	334540	3	402	correct	336536	1	128	334540	fop_00621.png	fop_Mango.png	organic	65303	ok
68766	07/27/2021 16:12:31	1	25	340784	1	130	338781	344266	1	132	343021	347499	1	134	347261	3	395	correct	347915	1	134	347261	mom_59361.png	mom_Loewe.png	organic	65303	ok
68766	07/27/2021 16:12:42	1	26	351131	1	135	349380	352780	1	136	351501	357712	1	138	355741	3	410	correct	358162	1	139	357860	moj_11821.png	moj_Blatt.png	organic	65303	ok
68766	07/27/2021 16:12:54	1	27	362294	1	141	362101	365459	1	142	364221	370208	1	144	368461	2	462	correct	370691	1	145	370581	fag_06539.png	fag_Geschenk.png	inorganic	65303	ok
68766	07/27/2021 16:13:05	1	28	373923	1	146	372700	376139	1	147	374820	380121	1	149	379061	2	699	correct	380854	1	149	379061	mat_23275.png	mat_Feuerzeug.png	inorganic	65303	ok
68766	07/27/2021 16:13:17	1	29	384436	1	151	383301	387835	1	153	387540	391450	1	154	389660	3	361	correct	391834	1	155	391781	mot_69374.png	mot_Hotdog.png	organic	65303	ok
68766	07/27/2021 16:13:28	1	30	396665	1	157	396020	399748	1	158	398140	404413	1	160	402381	3	372	correct	404829	1	161	404500	foi_03389.png	foi_Apfelkuchen.png	organic	65303	ok
68766	07/27/2021 16:13:40	1	31	408145	1	162	406620	410028	1	163	408741	414626	1	165	412980	3	583	correct	415242	1	166	415100	foe_08236.png	foe_Tannenzapfen.png	organic	65303	ok
68766	07/27/2021 16:13:50	1	32	419508	1	168	419340	421690	1	169	421460	425139	1	170	423581	2	977	correct	426139	1	171	425701	fat_12032.png	fat_Einkaufswagen.png	inorganic	65303	ok
